symbol,order_id,comb_offset,direction,order_type,price,fee,commission,stamp,transfer,cost,hold_vol_id,status,amount,create_time,min_volume
SZ002838,13540,0,1,5,60.14,9.02,9.02,0.0,0.0,6014.49,0,3,1,20170222,100
SZ000632,13541,0,1,5,9.28,5.0,5.0,0.0,0.0,928.16,0,3,1,20170222,100
SZ300578,13542,0,1,5,50.72,7.61,7.61,0.0,0.0,5071.9,0,3,1,20170222,100
SH603177,13543,0,1,5,14.8,6.0,5.0,0.0,1.0,1480.0,0,3,1,20170222,100
SZ002222,13544,0,1,5,15.85,5.0,5.0,0.0,0.0,1585.42,0,3,1,20170222,100
SZ000923,13545,0,1,5,22.47,5.0,5.0,0.0,0.0,2247.01,0,3,1,20170222,100
SZ002846,13546,0,1,5,34.24,5.14,5.14,0.0,0.0,3424.0,0,3,1,20170222,100
SZ300601,13547,0,1,5,13.5,5.0,5.0,0.0,0.0,1350.0,0,3,1,20170222,100
SZ300561,13548,0,1,5,75.66,11.35,11.35,0.0,0.0,7566.09,0,3,1,20170222,100
SZ300610,13549,0,1,5,29.66,5.0,5.0,0.0,0.0,2966.0,0,3,1,20170222,100
SH600815,13550,0,1,5,7.43,6.0,5.0,0.0,1.0,742.89,0,3,1,20170222,100
SZ300603,13551,0,1,5,24.9,5.0,5.0,0.0,0.0,2490.0,0,3,1,20170222,100
SZ300608,13552,0,1,5,45.36,6.8,6.8,0.0,0.0,4536.0,0,3,1,20170222,100
SZ001896,13553,0,1,5,11.69,5.0,5.0,0.0,0.0,1169.16,0,3,1,20170222,100
SZ300600,13554,0,1,5,62.21,9.33,9.33,0.0,0.0,6220.7,0,3,1,20170222,100
SH600802,13555,0,1,5,14.26,6.0,5.0,0.0,1.0,1425.71,0,3,1,20170222,100
SZ300605,13556,0,1,5,35.11,5.27,5.27,0.0,0.0,3511.0,0,3,1,20170222,100
SZ002847,13557,0,1,5,34.14,5.12,5.12,0.0,0.0,3414.0,0,3,1,20170222,100
SZ002842,13558,0,1,5,51.97,7.8,7.8,0.0,0.0,5196.93,0,3,1,20170222,100
SH600973,13559,0,1,5,8.86,6.0,5.0,0.0,1.0,886.0,0,3,1,20170222,100
SZ300615,13560,0,1,5,33.32,5.0,5.0,0.0,0.0,3332.0,0,3,1,20170222,100
SH603881,13561,0,1,5,29.15,6.0,5.0,0.0,1.0,2915.0,0,3,1,20170222,100
SZ300517,13562,0,1,5,43.08,6.46,6.46,0.0,0.0,4307.91,0,3,1,20170222,100
SH603330,13563,0,1,5,51.05,8.66,7.66,0.0,1.0,5105.0,0,3,1,20170222,100
SZ002848,13564,0,1,5,17.71,5.0,5.0,0.0,0.0,1771.0,0,3,1,20170222,100
SH603389,13565,0,1,5,26.19,6.0,5.0,0.0,1.0,2618.7,0,3,1,20170222,100
SH603036,13566,0,1,5,48.64,8.3,7.3,0.0,1.0,4864.09,0,3,1,20170222,100
SZ002558,13567,0,1,5,79.71,11.96,11.96,0.0,0.0,7970.54,0,3,1,20170222,100
SZ000546,13568,0,1,5,13.05,5.0,5.0,0.0,0.0,1305.48,0,3,1,20170222,100
SZ002841,13569,0,1,5,70.1,10.51,10.51,0.0,0.0,7009.68,0,3,1,20170222,100
SH603615,13570,0,1,5,23.51,6.0,5.0,0.0,1.0,2351.0,0,3,1,20170222,100
SZ300597,13571,0,1,5,25.86,5.0,5.0,0.0,0.0,2586.35,0,3,1,20170222,100
SZ002843,13572,0,1,5,35.33,5.3,5.3,0.0,0.0,3533.47,0,3,1,20170222,100
SH603603,13573,0,1,5,12.93,6.0,5.0,0.0,1.0,1293.0,0,3,1,20170222,100
SH603040,13574,0,1,5,55.8,9.37,8.37,0.0,1.0,5580.0,0,3,1,20170222,100
SH603690,13575,0,1,5,22.24,6.0,5.0,0.0,1.0,2224.0,0,3,1,20170222,100
SZ300609,13576,0,1,5,18.84,5.0,5.0,0.0,0.0,1884.0,0,3,1,20170222,100
SZ300612,13577,0,1,5,37.42,5.61,5.61,0.0,0.0,3742.0,0,3,1,20170222,100
SZ002849,13578,0,1,5,23.16,5.0,5.0,0.0,0.0,2316.0,0,3,1,20170222,100
SH603238,13579,0,1,5,19.17,6.0,5.0,0.0,1.0,1917.0,0,3,1,20170222,100
SZ000789,13580,0,1,5,10.12,5.0,5.0,0.0,0.0,1012.22,0,3,1,20170222,100
SH601991,13581,1,-1,5,4.35,6.43,5.0,0.43,1.0,434.54,13052,3,1,20170223,100
SZ000839,13582,1,-1,5,10.27,6.03,5.0,1.03,0.0,1027.39,13155,3,1,20170223,100
SZ300323,13583,1,-1,5,11.69,6.17,5.0,1.17,0.0,1168.68,13236,3,1,20170223,100
SH603799,13584,1,-1,5,54.7,14.67,8.2,5.47,1.0,5469.83,13283,3,1,20170223,100
SZ002839,13585,1,-1,5,18.06,6.81,5.0,1.81,0.0,1805.84,13284,3,1,20170223,100
SZ002203,13586,1,-1,5,9.73,5.97,5.0,0.97,0.0,973.4,13285,3,1,20170223,100
SZ300427,13587,1,-1,5,26.13,7.61,5.0,2.61,0.0,2612.64,13286,3,1,20170223,100
SH600939,13588,1,-1,5,5.24,6.52,5.0,0.52,1.0,523.64,13287,3,1,20170223,100
SZ300175,13589,1,-1,5,15.61,6.56,5.0,1.56,0.0,1561.15,13288,3,1,20170223,100
SZ300600,13590,1,-1,5,65.94,16.48,9.89,6.59,0.0,6593.94,13289,3,1,20170223,100
SZ000572,13591,1,-1,5,6.48,5.65,5.0,0.65,0.0,647.54,13290,3,1,20170223,100
SZ002346,13592,1,-1,5,35.98,9.0,5.4,3.6,0.0,3598.08,13291,3,1,20170223,100
SZ002148,13593,1,-1,5,19.9,6.99,5.0,1.99,0.0,1990.24,13292,3,1,20170223,100
SZ000850,13594,1,-1,5,6.63,5.66,5.0,0.66,0.0,662.87,13293,3,1,20170223,100
SZ000759,13595,1,-1,5,9.58,5.96,5.0,0.96,0.0,958.16,13294,3,1,20170223,100
SZ000760,13596,1,-1,5,10.4,6.04,5.0,1.04,0.0,1040.04,13296,3,1,20170223,100
SZ000877,13597,1,-1,5,13.42,6.34,5.0,1.34,0.0,1342.01,13297,3,1,20170223,100
SZ002843,13598,1,-1,5,37.45,9.36,5.62,3.75,0.0,3745.48,13298,3,1,20170223,100
