symbol,trader_id,order_id,direction,price,comb_offset,cost,fee,commission,stamp,transfer,daily_profit,settle_price,amount,min_volume,create_time
SH603656,9950,10045,1,67.64,0,6764.0,11.15,10.15,0.0,1.0,-11.15,67.64,1,100,20170331
SH600190,9951,10046,1,5.23,0,523.04,6.0,5.0,0.0,1.0,0.96,5.3,1,100,20170331
SH603178,9952,10047,1,14.42,0,1442.0,6.0,5.0,0.0,1.0,-6.0,14.42,1,100,20170331
SZ000557,9953,10048,1,7.85,0,785.03,5.0,5.0,0.0,0.0,-27.03,7.63,1,100,20170331
SZ300628,9954,10049,1,331.2,0,33120.0,49.68,49.68,0.0,0.0,-49.68,331.2,1,100,20170331
SZ000670,9955,10050,1,8.5,0,850.31,5.0,5.0,0.0,0.0,-26.31,8.29,1,100,20170331
SZ000767,9956,10051,1,4.04,0,403.6,5.0,5.0,0.0,0.0,-11.6,3.97,1,100,20170331
SH603833,9957,10052,1,95.99,0,9599.0,15.4,14.4,0.0,1.0,-15.4,95.99,1,100,20170331
SZ300630,9958,10053,1,22.03,0,2203.0,5.0,5.0,0.0,0.0,-5.0,22.03,1,100,20170331
SH603388,9959,10054,1,28.06,0,2806.0,6.0,5.0,0.0,1.0,-6.0,28.06,1,100,20170331
SZ300629,9960,10055,1,19.2,0,1920.0,5.0,5.0,0.0,0.0,-5.0,19.2,1,100,20170331
SZ300622,9961,10056,1,44.45,0,4445.0,6.67,6.67,0.0,0.0,-6.67,44.45,1,100,20170331
SH600798,9962,10058,1,7.4,0,739.63,6.0,5.0,0.0,1.0,2.37,7.48,1,100,20170331
SZ002246,9963,10059,1,19.23,0,1923.37,5.0,5.0,0.0,0.0,-87.37,18.41,1,100,20170331
SZ300311,9964,10060,1,19.05,0,1905.3,5.0,5.0,0.0,0.0,-10.3,19.0,1,100,20170331
SZ000993,9965,10061,1,14.86,0,1485.73,5.0,5.0,0.0,0.0,-24.73,14.66,1,100,20170331
SZ300618,9966,10062,1,108.14,0,10813.94,16.22,16.22,0.0,0.0,-46.16,107.84,1,100,20170331
SH603768,9967,10063,1,37.85,0,3785.0,6.68,5.68,0.0,1.0,-6.68,37.85,1,100,20170331
SH603811,9968,10064,-1,57.6,1,5760.25,15.4,8.64,5.76,1.0,0.0,0.0,1,100,20170331
SH603903,9969,10065,-1,46.59,1,4659.2,12.65,6.99,4.66,1.0,0.0,0.0,1,100,20170331
SZ300631,9970,10066,-1,30.56,1,3056.0,8.06,5.0,3.06,0.0,0.0,0.0,1,100,20170331
SH603179,9971,10067,-1,48.88,1,4887.72,13.22,7.33,4.89,1.0,0.0,0.0,1,100,20170331
SZ002040,9972,10068,-1,24.19,1,2419.03,7.42,5.0,2.42,0.0,0.0,0.0,1,100,20170331
SZ000507,9973,10069,-1,7.61,1,760.99,5.76,5.0,0.76,0.0,0.0,0.0,1,100,20170331
SZ300628,9974,10070,-1,331.2,1,33120.0,82.8,49.68,33.12,0.0,0.0,0.0,1,100,20170331
SZ300539,9975,10071,-1,49.23,1,4923.05,12.31,7.38,4.92,0.0,0.0,0.0,1,100,20170331
SH600033,9976,10072,-1,3.81,1,380.91,6.38,5.0,0.38,1.0,0.0,0.0,1,100,20170331
SZ000721,9977,10073,-1,9.64,1,964.2,5.96,5.0,0.96,0.0,0.0,0.0,1,100,20170331
SH600317,9978,10074,-1,3.78,1,378.15,6.38,5.0,0.38,1.0,0.0,0.0,1,100,20170331
SZ002302,9979,10075,-1,19.87,1,1986.96,6.99,5.0,1.99,0.0,0.0,0.0,1,100,20170331
SH603717,9980,10076,-1,30.86,1,3086.0,9.09,5.0,3.09,1.0,0.0,0.0,1,100,20170331
SZ300620,9981,10077,-1,58.8,1,5880.48,14.7,8.82,5.88,0.0,0.0,0.0,1,100,20170331
SZ300622,9982,10078,-1,44.45,1,4445.0,11.11,6.67,4.45,0.0,0.0,0.0,1,100,20170331
SH603991,9983,10079,-1,55.03,1,5502.7,14.76,8.25,5.5,1.0,0.0,0.0,1,100,20170331
SZ000022,9984,10080,-1,20.97,1,2097.24,7.1,5.0,2.1,0.0,0.0,0.0,1,100,20170331
SZ300627,9985,10081,-1,39.42,1,3942.0,9.86,5.91,3.94,0.0,0.0,0.0,1,100,20170331
SH603960,9986,10082,-1,47.3,1,4730.0,12.82,7.09,4.73,1.0,0.0,0.0,1,100,20170331
SZ300626,9987,10083,-1,25.48,1,2548.0,7.55,5.0,2.55,0.0,0.0,0.0,1,100,20170331
SH603133,9988,10084,-1,26.73,1,2673.0,8.67,5.0,2.67,1.0,0.0,0.0,1,100,20170331
SH603138,9989,10085,-1,77.14,1,7714.46,20.29,11.57,7.71,1.0,0.0,0.0,1,100,20170331
SZ300623,9990,10086,-1,95.34,1,9534.35,23.84,14.3,9.53,0.0,0.0,0.0,1,100,20170331
SZ002398,9991,10087,-1,14.49,1,1449.28,6.45,5.0,1.45,0.0,0.0,0.0,1,100,20170331
SZ300621,9992,10088,-1,35.31,1,3531.0,8.83,5.3,3.53,0.0,0.0,0.0,1,100,20170331
SH603517,9993,10089,-1,54.03,1,5402.83,14.51,8.1,5.4,1.0,0.0,0.0,1,100,20170331
SH603517,9994,10090,-1,54.03,1,5402.83,14.51,8.1,5.4,1.0,0.0,0.0,1,100,20170331
