symbol,trader_id,order_id,direction,price,comb_offset,cost,fee,commission,stamp,transfer,daily_profit,settle_price,amount,min_volume,create_time
SH900938,766,778,1,0.53,0,53.21,6.0,5.0,0.0,1.0,-6.41,0.53,1,100,20160202
SZ000950,1518,1534,1,7.3,0,730.07,5.0,5.0,0.0,0.0,9.93,7.45,1,100,20160317
SZ000881,2442,2464,1,19.65,0,1965.42,5.0,5.0,0.0,0.0,-30.42,19.4,1,100,20160503
SZ300073,2444,2466,1,45.2,0,4519.92,6.78,6.78,0.0,0.0,-36.7,44.9,1,100,20160503
SH600538,2453,2475,1,11.41,0,1141.36,6.0,5.0,0.0,1.0,-33.36,11.14,1,100,20160503
SH600839,2471,2493,1,4.13,0,413.09,6.0,5.0,0.0,1.0,-5.09,4.14,1,100,20160504
SZ002076,2485,2507,1,14.59,0,1459.34,5.0,5.0,0.0,0.0,-27.34,14.37,1,100,20160505
SZ000659,2488,2510,1,4.82,0,482.44,5.0,5.0,0.0,0.0,-9.44,4.78,1,100,20160505
SZ000779,2506,2528,1,28.22,0,2821.52,5.0,5.0,0.0,0.0,-36.52,27.9,1,100,20160506
SZ002709,2507,2529,1,129.05,0,12904.88,19.36,19.36,0.0,0.0,-534.24,123.9,1,100,20160506
SZ002070,2508,2530,1,24.67,0,2466.61,5.0,5.0,0.0,0.0,-11.61,24.6,1,100,20160506
SH603718,2509,2531,1,20.72,0,2072.4,6.0,5.0,0.0,1.0,-91.4,19.87,1,100,20160506
SZ000760,2510,2532,1,13.75,0,1374.59,5.0,5.0,0.0,0.0,-17.59,13.62,1,100,20160506
SZ000762,2511,2533,1,24.99,0,2499.23,5.0,5.0,0.0,0.0,-44.23,24.6,1,100,20160506
SZ002192,2512,2534,1,46.23,0,4622.76,6.93,6.93,0.0,0.0,-200.69,44.29,1,100,20160506
SZ000793,2513,2535,1,10.2,0,1019.58,5.0,5.0,0.0,0.0,-14.58,10.1,1,100,20160506
SZ300508,2514,2536,1,90.76,0,9076.0,13.61,13.61,0.0,0.0,-13.61,90.76,1,100,20160506
SZ002431,2515,2537,1,13.24,0,1323.58,5.0,5.0,0.0,0.0,-12.58,13.16,1,100,20160506
SH600103,2516,2538,1,5.64,0,563.88,6.0,5.0,0.0,1.0,-13.88,5.56,1,100,20160506
SH603198,2517,2539,1,24.96,0,2496.01,6.0,5.0,0.0,1.0,-47.01,24.55,1,100,20160506
SH603029,2518,2540,1,22.79,0,2279.0,6.0,5.0,0.0,1.0,-6.0,22.79,1,100,20160506
SZ300507,2519,2541,1,52.54,0,5254.0,7.88,7.88,0.0,0.0,-7.88,52.54,1,100,20160506
SZ002560,2520,2542,1,44.85,0,4485.29,6.73,6.73,0.0,0.0,-219.02,42.73,1,100,20160506
