,available_cash,chg,interests,log_chg,mktime,profit,retrace,value
0,199898.92,0.0042,200847.36,-0.0042,20160105,847.36,0.4237,1.0
1,203375.58,0.0227,205408.5,-0.023,20160106,4561.14,2.2709,1.03
2,203210.94,0.0088,207217.91,-0.0088,20160107,1809.41,0.8809,1.04
3,198562.14,-0.0049,206201.04,0.0049,20160108,-1016.87,-0.4907,1.03
4,201869.33,0.0023,206684.61,-0.0023,20160111,483.57,-0.2574,1.03
5,195401.56,-0.0234,201857.01,0.0231,20160112,-4827.59,-2.5871,1.01
6,199170.14,-0.0069,200456.69,0.0069,20160113,-1400.33,-3.2629,1.0
7,198836.82,0.0016,200782.5,-0.0016,20160114,325.82,-3.1056,1.0
8,199150.56,-0.0073,199322.46,0.0072,20160115,-1460.04,-3.8102,1.0
9,198249.92,-0.0069,197938.67,0.0069,20160118,-1383.79,-4.478,0.99
10,200828.75,0.0124,200399.45,-0.0125,20160119,2460.77,-3.2905,1.0
11,202373.25,0.0123,202872.45,-0.0124,20160120,2473.0,-2.097,1.01
12,199105.03,-0.0105,200742.52,0.0104,20160121,-2129.93,-3.1249,1.0
13,198614.36,-0.0052,199691.14,0.0052,20160122,-1051.37,-3.6323,1.0
14,200169.47,0.0017,200023.03,-0.0017,20160125,331.89,-3.4721,1.0
