mktime,interests,profit,value,daily_value,all_profit,close_profit,prosition_profit,settle_available_cash,position_cost,fee,retrace,value_chg,log_chg,last_profit,max_profit
20170105,199586.99,-413.01,1.0,1.0,-413.01,0.0,-342.44,199929.43,31626.87,70.57,-0.21,-0.0021,0.0021,0.0,0.0
20170106,198808.83,-778.16,0.99,1.0,-778.16,392.01,-980.36,200202.2,49548.14,189.81,-0.6,-0.0039,0.0039,-413.01,0.0
20170109,199539.25,730.42,1.0,1.0,730.42,522.86,477.82,200252.61,77857.67,270.25,-0.23,0.0037,-0.0037,-1191.17,0.0
20170110,203669.09,4129.84,1.02,1.02,4129.84,4405.84,-17.5,204147.34,51997.18,258.5,1.83,0.0207,-0.0209,-460.75,0.0
20170111,202819.83,-849.26,1.01,1.0,-849.26,-164.12,-453.12,199603.86,39199.39,232.02,-0.42,-0.0042,0.0042,3669.09,3669.09
20170112,202671.2,-148.63,1.01,1.0,-148.63,909.37,-842.52,200693.89,57781.72,215.48,-0.49,-0.0007,0.0007,2819.83,3669.09
20170113,201595.76,-1075.44,1.01,0.99,-1075.44,177.91,-1009.19,199933.74,33123.4,244.17,-1.02,-0.0053,0.0053,2671.2,3669.09
20170116,199518.49,-2077.27,1.0,0.99,-2077.27,-1619.89,-240.47,198163.2,49714.21,216.91,-2.04,-0.0103,0.0103,1595.76,3669.09
20170117,202264.55,2746.06,1.01,1.01,2746.06,1784.32,1220.82,201525.24,56836.11,259.08,-0.69,0.0138,-0.0139,-481.51,3669.09
20170118,204160.2,1895.65,1.02,1.01,1895.65,2414.73,-250.33,202145.98,97057.54,268.75,0.24,0.0094,-0.0094,2264.55,3669.09
20170119,202256.38,-1903.82,1.01,0.99,-1903.82,-1246.05,-275.54,198371.71,28211.06,382.24,-0.93,-0.0093,0.0093,4160.2,4160.2
20170120,202386.66,130.28,1.01,1.0,130.28,76.56,214.69,199915.6,72652.81,160.96,-0.87,0.0006,-0.0006,2256.38,4160.2
20170123,204779.43,2392.76,1.02,1.01,2392.76,2281.93,356.14,202036.62,87655.22,245.31,0.3,0.0118,-0.0119,2386.66,4160.2
20170124,204775.17,-4.25,1.02,1.0,-4.25,196.77,49.01,199946.73,62166.5,250.04,-0.0,-0.0,0.0,4779.43,4779.43
20170125,205981.82,1206.65,1.03,1.01,1206.65,781.97,654.36,200552.28,61342.52,229.69,0.59,0.0059,-0.0059,4775.17,4779.43
20170126,208312.82,2331.0,1.04,1.01,2331.0,2353.99,231.68,202099.32,58302.85,254.67,1.13,0.0113,-0.0114,5981.82,5981.82
20170203,209826.59,1513.77,1.05,1.01,1513.77,1623.66,69.37,201444.4,65364.11,179.26,0.73,0.0073,-0.0073,8312.82,8312.82
20170206,212151.39,2324.8,1.06,1.01,2324.8,1073.81,1466.3,200858.5,99498.51,215.31,1.11,0.0111,-0.0111,9826.59,9826.59
20170207,216337.81,4186.42,1.08,1.02,4186.42,3394.48,981.75,203204.67,72028.52,189.81,1.97,0.0197,-0.0199,12151.39,12151.39
