mktime,interests,profit,value,daily_value,all_profit,close_profit,prosition_profit,settle_available_cash,position_cost,fee,retrace,value_chg,log_chg,last_profit,max_profit
20160105,300847.36,847.36,1.0,1.0,847.36,0.0,948.43,299898.92,59228.49,101.08,0.28,0.0028,-0.0028,0.0,0.0
20160106,305408.5,4561.14,1.02,1.02,5408.5,3756.04,1185.56,303375.58,121019.58,380.46,1.52,0.0152,-0.0153,847.36,847.36
20160107,307217.91,1809.41,1.02,1.01,7217.91,3646.84,-1401.53,303210.94,40058.73,435.9,0.59,0.0059,-0.0059,5408.5,5408.5
20160108,306201.04,-1016.87,1.02,1.0,6201.04,-1236.54,420.99,298562.14,62151.52,201.32,-0.33,-0.0033,0.0033,7217.91,7217.91
20160111,306684.61,483.57,1.02,1.0,6684.61,2209.13,-1385.76,301869.33,73004.59,339.8,-0.17,0.0016,-0.0016,6201.04,7217.91
20160112,301857.01,-4827.59,1.01,0.98,1857.01,-4263.79,-229.15,295401.56,66896.97,334.65,-1.74,-0.0157,0.0156,6684.61,7217.91
20160113,300445.99,-1411.03,1.0,1.0,445.99,-538.29,-581.16,299170.14,62382.76,291.57,-2.2,-0.0047,0.0047,1857.01,7217.91
20160114,300698.47,252.48,1.0,1.0,698.47,-889.67,1489.06,298763.42,72648.51,346.91,-2.12,0.0008,-0.0008,445.99,7217.91
20160115,299162.11,-1536.36,1.0,0.99,-837.89,-688.29,-610.6,299074.25,30365.16,237.46,-2.62,-0.0051,0.0051,698.47,7217.91
20160118,297793.79,-1368.32,0.99,1.0,-2206.21,-1604.13,375.76,298255.92,44765.63,139.95,-3.07,-0.0046,0.0046,-837.89,7217.91
20160119,300252.75,2458.96,1.0,1.01,252.75,1048.08,1632.02,300826.94,73749.53,221.14,-2.27,0.0083,-0.0083,-2206.21,7217.91
20160120,302725.75,2473.0,1.01,1.01,2725.75,2547.87,99.76,302373.25,38587.83,174.62,-1.46,0.0082,-0.0083,252.75,7217.91
20160121,300710.21,-2015.54,1.0,0.99,710.21,-726.29,-1099.78,299084.24,49587.57,189.47,-2.12,-0.0067,0.0066,2725.75,7217.91
20160122,299735.65,-974.56,1.0,1.0,-264.35,-1133.74,329.54,298695.9,42562.49,170.36,-2.44,-0.0032,0.0032,710.21,7217.91
20160125,300084.33,348.69,1.0,1.0,84.33,320.63,163.76,300184.92,66457.54,135.71,-2.32,0.0012,-0.0012,-264.35,7217.91
20160126,296584.61,-3499.72,0.99,0.99,-3415.39,-2776.05,-476.92,296977.21,17035.54,246.74,-3.46,-0.0117,0.0116,84.33,7217.91
20160127,296026.27,-558.35,0.99,1.0,-3973.73,-1423.81,990.13,298451.52,43944.74,124.67,-3.64,-0.0019,0.0019,-3415.39,7217.91
