,available_cash,chg,interests,log_chg,mktime,profit,retrace,value
0,299898.92,0.0028,300847.36,-0.0028,20160105,847.36,0.2825,1.0
1,303375.58,0.0152,305408.5,-0.0153,20160106,4561.14,1.5161,1.02
2,303210.94,0.0059,307217.91,-0.0059,20160107,1809.41,0.5925,1.02
3,298562.14,-0.0033,306201.04,0.0033,20160108,-1016.87,-0.331,1.02
4,301869.33,0.0016,306684.61,-0.0016,20160111,483.57,-0.1736,1.02
5,295401.56,-0.0157,301857.01,0.0156,20160112,-4827.59,-1.745,1.01
6,299165.14,-0.0047,300435.99,0.0047,20160113,-1421.03,-2.2075,1.0
7,298763.42,0.001,300725.47,-0.001,20160114,289.48,-2.1133,1.0
8,299154.06,-0.0048,299268.92,0.0048,20160115,-1456.54,-2.5874,1.0
9,298249.92,-0.0046,297885.13,0.0046,20160118,-1383.79,-3.0378,0.99
10,300828.75,0.0083,300345.91,-0.0083,20160119,2460.77,-2.2368,1.0
11,302373.25,0.0082,302818.91,-0.0083,20160120,2473.0,-1.4319,1.01
12,299084.24,-0.0067,300803.37,0.0066,20160121,-2015.54,-2.0879,1.0
13,298690.9,-0.0033,299825.49,0.0032,20160122,-977.87,-2.4062,1.0
14,300164.47,0.0011,300153.73,-0.0011,20160125,328.24,-2.2994,1.0
15,296977.21,-0.0117,296654.01,0.0116,20160126,-3499.72,-3.4386,0.99
16,298445.52,-0.0019,296084.82,0.0019,20160127,-569.19,-3.6238,0.99
17,298887.66,-0.007,294014.6,0.007,20160128,-2070.23,-4.2977,0.98
18,299717.76,0.0014,294414.87,-0.0014,20160129,400.27,-4.1674,0.98
19,300231.17,0.0013,294790.83,-0.0013,20160201,375.96,-4.045,0.98
20,299988.44,0.0036,295861.76,-0.0036,20160202,1070.93,-3.6964,0.99
21,299714.73,0.0026,296639.38,-0.0026,20160203,777.63,-3.4433,0.99
22,303668.59,0.015,301078.38,-0.0151,20160204,4438.99,-1.9984,1.0
23,300243.69,-0.0031,300146.33,0.0031,20160205,-932.05,-2.3018,1.0
24,298515.45,-0.0009,299878.96,0.0009,20160215,-267.37,-2.3888,1.0
25,301878.12,0.0092,302650.74,-0.0093,20160216,2771.79,-1.4866,1.01
26,301301.6,0.007,304771.86,-0.007,20160217,2121.12,-0.7962,1.02
27,301351.19,0.0056,306489.32,-0.0057,20160218,1717.46,-0.2372,1.02
28,300046.07,-0.0,306478.24,0.0,20160219,-11.08,-0.2408,1.02
29,301502.64,0.0098,309481.73,-0.0098,20160222,3003.49,0.7369,1.03
30,301753.32,0.0083,312049.87,-0.0083,20160223,2568.14,0.8298,1.04
31,299463.05,-0.0009,311755.37,0.0009,20160224,-294.5,-0.0944,1.04
32,299410.75,-0.0046,310315.34,0.0046,20160225,-1440.03,-0.5558,1.03
33,298118.36,-0.0052,308695.03,0.0052,20160226,-1620.31,-1.0751,1.03
34,298473.58,-0.0049,307194.55,0.0048,20160229,-1500.47,-1.5559,1.02
35,298725.19,-0.0018,306634.33,0.0018,20160301,-560.23,-1.7355,1.02
36,300896.58,0.0057,308369.51,-0.0057,20160302,1735.18,-1.1794,1.03
37,300401.22,0.0005,308533.88,-0.0005,20160303,164.37,-1.1267,1.03
38,298247.96,-0.0071,306340.44,0.0071,20160304,-2193.43,-1.8297,1.02
39,299999.88,0.0015,306785.89,-0.0015,20160307,445.45,-1.6869,1.02
40,299336.98,0.0009,307069.13,-0.0009,20160308,283.24,-1.5961,1.02
41,299938.42,-0.0018,306526.11,0.0018,20160309,-543.02,-1.7702,1.02
42,299268.44,-0.0033,305500.6,0.0033,20160310,-1025.51,-2.0988,1.02
43,299157.97,-0.0014,305064.03,0.0014,20160311,-436.57,-2.2387,1.02
44,301549.39,0.0072,307247.7,-0.0072,20160314,2183.67,-1.5389,1.02
45,301373.62,0.0042,308542.65,-0.0042,20160315,1294.95,-1.1239,1.03
46,299637.42,-0.001,308238.53,0.001,20160316,-304.12,-1.2214,1.03
47,301082.16,0.0081,310736.42,-0.0081,20160317,2497.89,-0.4209,1.04
48,302631.76,0.0103,313948.04,-0.0104,20160318,3211.62,0.6083,1.05
49,300850.34,0.006,315817.87,-0.006,20160321,1869.84,0.5956,1.05
50,300248.87,0.0007,316053.31,-0.0007,20160322,235.44,0.0745,1.05
51,299417.44,0.0005,316196.15,-0.0005,20160323,142.84,0.0452,1.05
52,300098.59,-0.0019,315586.85,0.0019,20160324,-609.3,-0.1927,1.05
53,297926.07,-0.0106,312254.08,0.0105,20160325,-3332.77,-1.2467,1.04
54,297757.69,-0.0081,309734.43,0.008,20160328,-2519.65,-2.0436,1.03
55,298602.05,-0.0055,308020.21,0.0055,20160329,-1714.22,-2.5857,1.03
56,300048.54,0.0036,309121.41,-0.0036,20160330,1101.2,-2.2375,1.03
57,300956.45,0.0046,310545.38,-0.0046,20160331,1423.97,-1.7871,1.04
58,300094.0,0.0022,311244.06,-0.0023,20160401,698.68,-1.5661,1.04
59,300300.51,0.0043,312573.93,-0.0043,20160405,1329.87,-1.1456,1.04
60,300386.41,0.0032,313562.96,-0.0032,20160406,989.03,-0.8328,1.05
61,299766.08,0.0002,313622.75,-0.0002,20160407,59.79,-0.8139,1.05
62,299346.62,-0.0009,313340.95,0.0009,20160408,-281.8,-0.903,1.04
63,301015.36,0.0073,315640.73,-0.0074,20160411,2299.78,-0.1757,1.05
64,300056.06,-0.0001,315596.63,0.0001,20160412,-44.1,-0.1896,1.05
65,300041.66,0.0022,316278.68,-0.0022,20160413,682.05,0.0261,1.05
66,300557.57,0.0066,318354.7,-0.0066,20160414,2076.02,0.6564,1.06
67,301123.57,0.003,319312.69,-0.003,20160415,957.99,0.3009,1.06
68,297562.53,-0.0083,316655.65,0.0083,20160418,-2657.05,-0.8321,1.06
69,300856.91,0.0037,317835.65,-0.0037,20160419,1180.0,-0.4626,1.06
70,300382.42,0.001,318158.95,-0.001,20160420,323.3,-0.3613,1.06
71,300083.12,0.0012,318534.31,-0.0012,20160421,375.36,-0.2438,1.06
72,299367.16,-0.0012,318150.29,0.0012,20160422,-384.01,-0.364,1.06
73,300561.99,0.0023,318867.76,-0.0023,20160425,717.47,-0.1393,1.06
74,300584.11,0.0041,320183.6,-0.0041,20160426,1315.84,0.2727,1.07
75,301201.98,0.0015,320678.15,-0.0015,20160427,494.55,0.1545,1.07
76,299201.39,-0.0008,320414.52,0.0008,20160428,-263.63,-0.0822,1.07
77,300026.91,-0.0007,320195.72,0.0007,20160429,-218.8,-0.1504,1.07
78,300931.82,0.0045,321648.56,-0.0045,20160503,1452.84,0.3026,1.07
79,300839.99,0.0046,323141.83,-0.0047,20160504,1493.27,0.4643,1.08
80,299776.05,0.0021,323804.32,-0.0021,20160505,662.5,0.205,1.08
81,300747.25,-0.0011,323434.1,0.0011,20160506,-370.22,-0.1143,1.08
82,298351.45,-0.0056,321612.02,0.0056,20160509,-1822.08,-0.677,1.07
83,298934.04,-0.0031,320610.44,0.0031,20160510,-1001.58,-0.9864,1.07
84,300451.03,0.0003,320692.77,-0.0003,20160511,82.33,-0.9609,1.07
85,296691.8,-0.0091,317775.06,0.0091,20160512,-2917.71,-1.862,1.06
86,299682.32,-0.0003,317669.31,0.0003,20160513,-105.74,-1.8947,1.06
87,300075.57,0.0029,318588.77,-0.0029,20160516,919.46,-1.6107,1.06
88,300833.05,0.0027,319460.58,-0.0027,20160517,871.81,-1.3415,1.06
89,298772.64,-0.0028,318571.98,0.0028,20160518,-888.6,-1.6159,1.06
90,300788.29,0.0026,319393.36,-0.0026,20160519,821.38,-1.3622,1.06
91,299950.19,0.0019,319993.04,-0.0019,20160520,599.69,-1.177,1.07
92,300464.56,0.0033,321038.35,-0.0033,20160523,1045.3,-0.8542,1.07
93,299967.83,0.0018,321617.53,-0.0018,20160524,579.19,-0.6753,1.07
94,300429.15,0.0018,322193.57,-0.0018,20160525,576.04,-0.4974,1.07
95,298754.29,0.0023,322930.42,-0.0023,20160526,736.85,-0.2699,1.08
96,301538.53,0.0027,323805.45,-0.0027,20160527,875.03,0.0003,1.08
97,299187.85,-0.0012,323405.33,0.0012,20160530,-400.12,-0.1236,1.08
98,301027.91,0.0077,325883.88,-0.0077,20160531,2478.55,0.6419,1.09
99,302222.92,0.0099,329096.84,-0.0099,20160601,3212.96,0.9859,1.1
100,300666.05,0.0061,331090.94,-0.0061,20160602,1994.1,0.6059,1.1
101,300451.59,0.0005,331265.14,-0.0005,20160603,174.2,0.0526,1.1
102,294968.82,-0.014,326636.2,0.0139,20160606,-4628.94,-1.3974,1.09
103,300630.49,0.007,328926.54,-0.007,20160607,2290.33,-0.706,1.1
104,292470.89,-0.0213,321927.63,0.0211,20160608,-6998.91,-2.8187,1.07
105,297540.37,-0.0082,319281.83,0.0082,20160613,-2645.8,-3.6174,1.06
106,299201.82,-0.0006,319099.84,0.0006,20160614,-181.98,-3.6724,1.06
107,302927.58,0.0114,322748.68,-0.0115,20160615,3648.84,-2.5709,1.08
108,300230.1,0.001,323062.75,-0.001,20160616,314.07,-2.4761,1.08
109,299873.78,0.003,324023.53,-0.003,20160617,960.78,-2.186,1.08
110,302737.61,0.0093,327050.46,-0.0094,20160620,3026.93,-1.2723,1.09
111,300778.63,0.0044,328493.94,-0.0044,20160621,1443.48,-0.8366,1.09
112,301215.93,0.0052,330215.67,-0.0053,20160622,1721.73,-0.3168,1.1
113,300509.87,0.0035,331376.82,-0.0035,20160623,1161.15,0.0337,1.1
114,300824.3,0.0053,333131.71,-0.0053,20160624,1754.9,0.5296,1.11
115,301548.37,0.0072,335515.48,-0.0072,20160627,2383.77,0.7156,1.12
116,304729.0,0.016,340887.38,-0.0161,20160628,5371.9,1.6011,1.14
117,302318.41,0.0108,344559.97,-0.0108,20160629,3672.59,1.0774,1.15
118,300021.79,-0.0033,343433.05,0.0033,20160630,-1126.93,-0.3271,1.14
119,302956.23,0.0097,346763.44,-0.0097,20160701,3330.4,0.6395,1.16
120,300769.28,0.0087,349794.05,-0.0088,20160704,3030.6,0.874,1.17
121,306246.8,0.0196,356635.91,-0.0198,20160705,6841.86,1.956,1.19
122,298523.56,-0.0031,355521.04,0.0031,20160706,-1114.87,-0.3126,1.19
123,301010.27,0.0015,356040.99,-0.0015,20160707,519.95,-0.1668,1.19
124,301412.85,0.0015,356561.46,-0.0015,20160708,520.47,-0.0209,1.19
125,296959.3,-0.0104,352863.96,0.0103,20160711,-3697.5,-1.0576,1.18
126,300525.11,0.0024,353695.31,-0.0024,20160712,831.36,-0.8245,1.18
127,300778.85,0.0006,353919.22,-0.0006,20160713,223.91,-0.7618,1.18
128,300571.46,0.0041,355379.48,-0.0041,20160714,1460.26,-0.3523,1.18
129,301049.09,0.002,356101.85,-0.002,20160715,722.36,-0.1497,1.19
130,298005.26,-0.0068,353687.68,0.0068,20160718,-2414.16,-0.8267,1.18
131,300697.44,0.0032,354813.73,-0.0032,20160719,1126.05,-0.5109,1.18
132,301209.69,0.0037,356142.47,-0.0038,20160720,1328.73,-0.1384,1.19
133,298663.24,-0.0082,353220.64,0.0082,20160721,-2921.83,-0.9576,1.18
134,297706.25,-0.007,350750.04,0.007,20160722,-2470.6,-1.6504,1.17
135,299844.55,-0.002,350053.93,0.002,20160725,-696.12,-1.8456,1.17
136,301077.33,0.0028,351018.86,-0.0028,20160726,964.93,-1.575,1.17
137,299605.68,-0.001,350666.01,0.001,20160727,-352.85,-1.6739,1.17
138,299600.67,-0.0008,350397.92,0.0008,20160728,-268.09,-1.7491,1.17
139,299733.16,-0.0011,350024.5,0.0011,20160729,-373.42,-1.8538,1.17
140,298435.1,-0.005,348287.69,0.0049,20160801,-1736.81,-2.3408,1.16
141,299190.72,-0.0024,347456.73,0.0024,20160802,-830.95,-2.5738,1.16
142,301207.91,0.0057,349444.71,-0.0057,20160803,1987.98,-2.0164,1.16
143,303234.44,0.0075,352050.11,-0.0075,20160804,2605.4,-1.2858,1.17
144,299785.77,-0.0006,351850.68,0.0006,20160805,-199.43,-1.3418,1.17
145,300464.79,0.0016,352429.52,-0.0016,20160808,578.84,-1.1795,1.17
146,301343.39,0.0075,355056.28,-0.0075,20160809,2626.76,-0.4429,1.18
147,302397.8,0.0074,357695.2,-0.0075,20160810,2638.93,0.297,1.19
148,300662.49,-0.0016,357128.75,0.0016,20160811,-566.46,-0.1584,1.19
149,300454.04,0.0021,357867.17,-0.0021,20160812,738.43,0.0481,1.19
150,301490.8,0.0064,360146.09,-0.0064,20160815,2278.91,0.6368,1.2
151,303569.56,0.0092,363458.9,-0.0092,20160816,3312.81,0.9199,1.21
152,300620.97,0.0023,364301.88,-0.0023,20160817,842.98,0.2319,1.21
153,304155.71,0.0111,368335.07,-0.0111,20160818,4033.19,1.1071,1.23
154,300133.33,-0.0008,368023.71,0.0008,20160819,-311.36,-0.0845,1.23
155,299635.41,-0.0036,366710.06,0.0036,20160822,-1313.65,-0.4412,1.22
156,295013.16,-0.0123,362199.71,0.0122,20160823,-4510.35,-1.6657,1.21
157,301844.34,0.0038,363570.31,-0.0038,20160824,1370.59,-1.2936,1.21
158,300354.25,0.0035,364839.43,-0.0035,20160825,1269.12,-0.949,1.22
159,298668.28,-0.0046,363143.28,0.0046,20160826,-1696.14,-1.4095,1.21
160,299405.56,-0.0016,362572.01,0.0016,20160829,-571.27,-1.5646,1.21
161,300994.63,0.002,363310.47,-0.002,20160830,738.46,-1.3641,1.21
162,300561.83,0.0018,363948.76,-0.0018,20160831,638.3,-1.1908,1.21
