mktime,interests,profit,value,daily_value,all_profit,close_profit,prosition_profit,settle_available_cash,position_cost,fee,retrace,value_chg,log_chg,last_profit,max_profit
20160105,400557.19,557.19,1.0,1.0,557.19,0.0,648.66,399908.54,53537.88,91.46,0.14,0.0014,0.0014,0.0,0.0
20160106,404525.64,3968.44,1.01,1.01,4525.64,3870.93,540.21,403428.23,156780.41,442.7,0.99,0.0099,0.0099,557.19,557.19
20160107,410779.07,6253.44,1.03,1.02,10779.07,8194.55,-1388.96,407642.4,31726.57,552.15,1.55,0.0155,0.0153,4525.64,4525.64
20160108,411053.59,274.51,1.03,1.0,11053.59,-51.25,617.92,399656.6,111880.18,292.15,0.07,0.0007,0.0007,10779.07,10779.07
20160111,411891.46,837.87,1.03,1.0,11891.46,2425.26,-1096.19,401934.07,48917.92,491.19,0.2,0.002,0.002,11053.59,11053.59
20160112,408038.27,-3853.19,1.02,0.99,8038.27,-2561.52,-942.53,397089.34,88498.14,349.14,-0.94,-0.0094,-0.0094,11891.46,11891.46
20160113,404157.87,-3880.4,1.01,0.99,4157.87,-1754.24,-1713.08,397832.69,81369.3,413.07,-1.88,-0.0095,-0.0096,8038.27,11891.46
20160114,404785.43,627.56,1.01,1.0,4785.43,380.86,687.59,399939.97,36835.55,440.89,-1.73,0.0016,0.0016,4157.87,11891.46
20160115,407121.0,2335.57,1.02,1.01,7121.0,2715.2,-211.82,402547.39,15940.67,167.81,-1.16,0.0058,0.0058,4785.43,11891.46
20160118,407411.79,290.78,1.02,1.0,7411.79,197.71,230.88,400059.91,30886.66,137.8,-1.09,0.0007,0.0007,7121.0,11891.46
20160119,409571.88,2160.1,1.02,1.01,9571.88,1400.82,990.1,401170.0,62283.26,230.82,-0.56,0.0053,0.0053,7411.79,11891.46
20160120,412675.8,3103.92,1.03,1.01,12675.8,3432.22,-171.26,403275.17,34896.67,157.05,0.19,0.0076,0.0075,9571.88,11891.46
20160121,410468.36,-2207.44,1.03,0.99,10468.36,-686.26,-1275.3,399067.86,41476.82,245.88,-0.53,-0.0053,-0.0054,12675.8,12675.8
20160122,409900.19,-568.18,1.02,1.0,9900.19,-761.39,400.97,399030.86,30848.61,207.75,-0.67,-0.0014,-0.0014,10468.36,12675.8
20160125,410858.67,958.48,1.03,1.0,10858.67,1524.8,-378.82,401337.3,76021.78,187.5,-0.44,0.0023,0.0023,9900.19,12675.8
20160126,404740.8,-6117.87,1.01,0.99,4740.8,-3947.2,-1827.77,395709.9,34954.36,342.9,-1.92,-0.0149,-0.015,10858.67,12675.8
20160127,403597.38,-1143.42,1.01,1.0,3597.38,-2461.8,1558.89,397297.7,41882.42,240.5,-2.2,-0.0028,-0.0028,4740.8,12675.8
