,available_cash,chg,interests,log_chg,mktime,profit,retrace,value
0,399842.76,0.0036,401455.42,0.0036,20160105,1455.42,0.3639,1.0036
1,404791.32,0.0159,407832.97,0.0158,20160106,7832.97,1.5886,1.0196
2,406185.58,0.0059,410219.27,0.0058,20160107,10219.27,0.5851,1.0255
3,396660.96,-0.0079,406973.49,-0.0079,20160108,6973.49,-0.7912,1.0174
4,400185.91,-0.0074,403973.74,-0.0074,20160111,3973.74,-1.5225,1.0099
5,392322.99,-0.0219,395123.71,-0.0222,20160112,-4876.29,-3.6799,0.9878
6,395325.23,-0.0173,388271.39,-0.0175,20160113,-11728.61,-5.3503,0.9707
7,398738.0,0.0056,390449.14,0.0056,20160114,-9550.86,-4.8194,0.9761
8,402165.66,-0.0009,390080.82,-0.0009,20160115,-9919.18,-4.9092,0.9752
9,396247.87,-0.0076,387105.22,-0.0077,20160118,-12894.78,-5.6346,0.9678
10,401522.83,0.0123,391883.63,0.0123,20160119,-8116.37,-4.4697,0.9797
11,406593.85,0.0146,397600.68,0.0145,20160120,-2399.32,-3.0761,0.994
12,396816.83,-0.014,392016.58,-0.0141,20160121,-7983.42,-4.4373,0.98
13,397941.75,-0.004,390445.43,-0.004,20160122,-9554.57,-4.8203,0.9761
14,402074.5,0.0073,393282.37,0.0072,20160125,-6717.63,-4.1287,0.9832
15,393924.36,-0.0203,385310.75,-0.0205,20160126,-14689.25,-6.072,0.9633
16,396167.98,-0.0061,382960.68,-0.0061,20160127,-17039.32,-6.6449,0.9574
17,398750.15,-0.0096,379276.44,-0.0097,20160128,-20723.56,-7.543,0.9482
18,400189.61,0.0025,380235.22,0.0025,20160129,-19764.78,-7.3093,0.9506
19,399830.89,0.0003,380353.77,0.0003,20160201,-19646.23,-7.2804,0.9509
20,401137.18,0.0087,383660.34,0.0087,20160202,-16339.66,-6.4743,0.9592
21,401113.46,0.0063,386071.54,0.0063,20160203,-13928.46,-5.8865,0.9652
22,404355.61,0.0144,391621.42,0.0143,20160204,-8378.58,-4.5336,0.9791
23,399919.94,-0.0079,388528.04,-0.0079,20160205,-11471.96,-5.2877,0.9713
24,396706.43,-0.0041,386947.26,-0.0041,20160215,-13052.74,-5.6731,0.9674
25,402652.55,0.0103,390925.03,0.0102,20160216,-9074.97,-4.7034,0.9773
26,402135.09,0.0085,394235.48,0.0084,20160217,-5764.52,-3.8964,0.9856
27,401780.48,0.0059,396564.47,0.0059,20160218,-3435.53,-3.3287,0.9914
28,399866.45,-0.0011,396108.58,-0.0012,20160219,-3891.42,-3.4398,0.9903
29,402324.51,0.0096,399894.89,0.0095,20160222,-105.11,-2.5168,0.9997
30,403168.81,0.0121,404732.2,0.012,20160223,4732.2,-1.3376,1.0118
31,400114.06,-0.0003,404624.28,-0.0003,20160224,4624.28,-1.3639,1.0116
32,397600.87,-0.0106,400326.97,-0.0107,20160225,326.97,-2.4115,1.0008
33,396294.28,-0.0094,396546.14,-0.0095,20160226,-3453.86,-3.3331,0.9914
34,395689.06,-0.0116,391933.26,-0.0117,20160229,-8066.74,-4.4576,0.9798
35,397375.85,-0.0039,390399.26,-0.0039,20160301,-9600.74,-4.8316,0.976
36,401729.04,0.0097,394200.55,0.0097,20160302,-5799.45,-3.9049,0.9855
37,401907.25,0.0033,395506.68,0.0033,20160303,-4493.32,-3.5865,0.9888
38,397157.84,-0.0104,391393.98,-0.0105,20160304,-8606.02,-4.5891,0.9785
39,399264.62,-0.0001,391345.93,-0.0001,20160307,-8654.07,-4.6008,0.9784
40,396807.92,-0.0035,389967.01,-0.0035,20160308,-10032.99,-4.9369,0.9749
41,400318.84,-0.0028,388859.94,-0.0028,20160309,-11140.06,-5.2068,0.9721
42,398050.93,-0.0075,385951.46,-0.0075,20160310,-14048.54,-5.9158,0.9649
43,397645.29,-0.0048,384097.72,-0.0048,20160311,-15902.28,-6.3677,0.9602
44,402349.45,0.0087,387433.11,0.0086,20160314,-12566.89,-5.5546,0.9686
45,401495.36,0.0028,388514.07,0.0028,20160315,-11485.93,-5.2911,0.9713
46,398622.98,-0.0037,387078.2,-0.0037,20160316,-12921.8,-5.6411,0.9677
47,401051.19,0.0083,390274.12,0.0082,20160317,-9725.88,-4.8621,0.9757
48,404008.17,0.0115,394774.41,0.0115,20160318,-5225.59,-3.765,0.9869
49,400883.73,0.0063,397277.46,0.0063,20160321,-2722.54,-3.1549,0.9932
50,400272.33,0.0008,397598.36,0.0008,20160322,-2401.64,-3.0766,0.994
51,399665.77,0.0036,399044.55,0.0036,20160323,-955.45,-2.7241,0.9976
52,401417.58,0.0005,399226.24,0.0005,20160324,-773.76,-2.6798,0.9981
53,396640.67,-0.0124,394275.12,-0.0125,20160325,-5724.88,-3.8867,0.9857
54,397701.41,-0.0084,390950.67,-0.0085,20160328,-9049.33,-4.6971,0.9774
55,397530.03,-0.009,387416.55,-0.0091,20160329,-12583.45,-5.5587,0.9685
56,400733.87,0.0059,389686.8,0.0058,20160330,-10313.2,-5.0052,0.9742
57,402237.9,0.007,392420.88,0.007,20160331,-7579.12,-4.3387,0.9811
58,399670.19,0.0001,392447.42,0.0001,20160401,-7552.58,-4.3323,0.9811
59,401655.74,0.0085,395770.33,0.0084,20160405,-4229.67,-3.5222,0.9894
60,401427.24,0.0049,397728.96,0.0049,20160406,-2271.04,-3.0448,0.9943
61,399721.29,-0.0019,396956.12,-0.0019,20160407,-3043.88,-3.2332,0.9924
62,398867.21,0.0001,396985.76,0.0001,20160408,-3014.24,-3.226,0.9925
63,401813.34,0.0092,400634.97,0.0092,20160411,634.97,-2.3364,1.0016
64,397671.03,-0.0075,397647.64,-0.0075,20160412,-2352.36,-3.0646,0.9941
65,400268.91,0.0024,398601.81,0.0024,20160413,-1398.19,-2.832,0.9965
