symbol,order_id,comb_offset,direction,order_type,price,fee,commission,stamp,transfer,cost,hold_vol_id,status,amount,create_time,min_volume
SZ002846,10540,0,1,5,28.92,5.0,5.0,0.0,0.0,2892.44,0,3,1,20170818,100
SZ300689,10541,0,1,5,40.38,6.06,6.06,0.0,0.0,4038.0,0,3,1,20170818,100
SZ002386,10542,0,1,5,11.76,5.0,5.0,0.0,0.0,1175.95,0,3,1,20170818,100
SZ000927,10543,0,1,5,5.29,5.0,5.0,0.0,0.0,528.55,0,3,1,20170818,100
SZ002246,10544,0,1,5,16.87,5.0,5.0,0.0,0.0,1687.37,0,3,1,20170818,100
SH603603,10545,0,1,5,45.53,7.83,6.83,0.0,1.0,4553.26,0,3,1,20170818,100
SH603129,10546,0,1,5,19.63,6.0,5.0,0.0,1.0,1963.0,0,3,1,20170818,100
SH600626,10547,0,1,5,9.87,6.0,5.0,0.0,1.0,986.53,0,3,1,20170818,100
SZ000931,10548,0,1,5,8.01,5.0,5.0,0.0,0.0,801.0,0,3,1,20170818,100
SZ002889,10549,0,1,5,30.84,5.0,5.0,0.0,0.0,3083.75,0,3,1,20170818,100
SH600578,10550,1,-1,5,4.57,6.46,5.0,0.46,1.0,457.5,9790,3,1,20170821,100
SZ002888,10551,1,-1,5,29.92,7.99,5.0,2.99,0.0,2991.77,10416,3,1,20170821,100
SZ300682,10552,1,-1,5,18.58,6.86,5.0,1.86,0.0,1858.44,10418,3,1,20170821,100
SH603880,10553,1,-1,5,28.1,8.81,5.0,2.81,1.0,2810.26,10419,3,1,20170821,100
SH603602,10554,1,-1,5,41.01,11.25,6.15,4.1,1.0,4100.54,10420,3,1,20170821,100
SZ300685,10555,1,-1,5,66.44,16.61,9.97,6.64,0.0,6644.08,10421,3,1,20170821,100
SH603776,10556,1,-1,5,45.08,12.27,6.76,4.51,1.0,4508.18,10422,3,1,20170821,100
SZ002386,10557,1,-1,5,12.47,6.25,5.0,1.25,0.0,1246.51,10423,3,1,20170821,100
SZ002542,10558,1,-1,5,11.85,6.19,5.0,1.19,0.0,1185.13,10424,3,1,20170821,100
SZ002890,10559,1,-1,5,36.22,9.05,5.43,3.62,0.0,3621.66,10425,3,1,20170821,100
SZ000688,10560,1,-1,5,10.49,6.05,5.0,1.05,0.0,1048.72,10426,3,1,20170821,100
SZ300678,10561,1,-1,5,45.22,11.31,6.78,4.52,0.0,4522.49,10428,3,1,20170821,100
SZ002892,10562,1,-1,5,29.49,7.95,5.0,2.95,0.0,2948.92,10429,3,1,20170821,100
SZ300675,10563,1,-1,5,23.8,7.38,5.0,2.38,0.0,2379.63,10430,3,1,20170821,100
SZ002889,10564,1,-1,5,32.69,8.27,5.0,3.27,0.0,3268.78,10431,3,1,20170821,100
