symbol,order_id,comb_offset,direction,order_type,price,fee,commission,stamp,transfer,cost,hold_vol_id,status,amount,create_time,min_volume
SZ002908,14510,0,1,5,21.27,5.0,5.0,0.0,0.0,2127.0,0,3,1,20171031,100
SH603260,14551,0,1,5,37.41,6.61,5.61,0.0,1.0,3741.0,0,3,1,20171102,100
SZ002910,14552,0,1,5,12.99,5.0,5.0,0.0,0.0,1299.0,0,3,1,20171102,100
SZ300710,14553,0,1,5,55.09,8.26,8.26,0.0,0.0,5509.0,0,3,1,20171102,100
SZ002806,14554,0,1,5,27.61,5.0,5.0,0.0,0.0,2760.56,0,3,1,20171102,100
SH603131,14555,0,1,5,27.69,6.0,5.0,0.0,1.0,2769.0,0,3,1,20171102,100
SH603466,14556,0,1,5,56.25,9.44,8.44,0.0,1.0,5625.0,0,3,1,20171102,100
SZ300715,14557,0,1,5,29.0,5.0,5.0,0.0,0.0,2900.0,0,3,1,20171102,100
SZ300546,14558,0,1,5,28.75,5.0,5.0,0.0,0.0,2875.09,0,3,1,20171102,100
SH603683,14559,0,1,5,31.72,6.0,5.0,0.0,1.0,3172.0,0,3,1,20171102,100
SH603289,14560,0,1,5,13.65,6.0,5.0,0.0,1.0,1365.0,0,3,1,20171102,100
SZ000020,14561,0,1,5,21.96,5.0,5.0,0.0,0.0,2196.48,0,3,1,20171102,100
SZ002901,14562,0,1,5,43.14,6.47,6.47,0.0,0.0,4313.77,0,3,1,20171102,100
SH603607,14563,0,1,5,40.93,7.14,6.14,0.0,1.0,4093.0,0,3,1,20171102,100
SH603533,14564,0,1,5,52.22,8.83,7.83,0.0,1.0,5222.0,0,3,1,20171102,100
SZ002909,14565,0,1,5,17.33,5.0,5.0,0.0,0.0,1733.0,0,3,1,20171102,100
SH600387,14566,1,-1,5,11.12,7.11,5.0,1.11,1.0,1111.5,14270,3,1,20171103,100
SH601369,14567,1,-1,5,7.29,6.73,5.0,0.73,1.0,729.49,14303,3,1,20171103,100
SZ000531,14568,1,-1,5,8.85,5.89,5.0,0.89,0.0,885.14,14372,3,1,20171103,100
SH600702,14569,1,-1,5,49.16,13.29,7.37,4.92,1.0,4916.46,14396,3,1,20171103,100
SZ300613,14570,1,-1,5,217.1,54.28,32.57,21.71,0.0,21710.26,14421,3,1,20171103,100
SZ300613,14571,1,-1,5,198.67,49.67,29.8,19.87,0.0,19866.94,14421,3,1,20171103,100
SZ002781,14572,1,-1,5,32.15,8.21,5.0,3.21,0.0,3214.55,14422,3,1,20171103,100
SZ300457,14573,1,-1,5,34.41,8.6,5.16,3.44,0.0,3440.87,14423,3,1,20171103,100
SH603458,14574,1,-1,5,79.72,20.93,11.96,7.97,1.0,7972.27,14424,3,1,20171103,100
SH603458,14575,1,-1,5,72.95,19.24,10.94,7.3,1.0,7295.38,14424,3,1,20171103,100
SZ300691,14576,1,-1,5,101.72,25.43,15.26,10.17,0.0,10171.78,14425,3,1,20171103,100
SH603533,14577,1,-1,5,55.35,14.84,8.3,5.54,1.0,5535.32,14426,3,1,20171103,100
