symbol,trader_id,order_id,direction,price,comb_offset,cost,fee,commission,stamp,transfer,daily_profit,settle_price,amount,min_volume,create_time
SZ300563,5914,6088,1,60.67,0,6067.39,9.1,9.1,0.0,0.0,-163.49,59.13,1,100,20161229
SH600810,5915,6092,1,10.62,0,1061.58,6.0,5.0,0.0,1.0,-5.58,10.62,1,100,20161229
SZ002269,5916,6100,1,4.94,0,494.02,5.0,5.0,0.0,0.0,-3.02,4.96,1,100,20161229
SH600860,5917,6101,1,11.87,0,1187.08,6.0,5.0,0.0,1.0,-26.08,11.67,1,100,20161229
SH600088,5918,6103,1,22.01,0,2200.82,6.0,5.0,0.0,1.0,-18.82,21.88,1,100,20161229
SZ000737,5919,6107,1,7.25,0,724.84,5.0,5.0,0.0,0.0,-11.84,7.18,1,100,20161229
SH600588,5920,6108,-1,21.1,1,2109.74,8.11,5.0,2.11,1.0,0.0,0.0,1,100,20161229
SH603819,5921,6109,-1,39.65,1,3964.77,10.91,5.95,3.96,1.0,0.0,0.0,1,100,20161229
SH603819,5922,6110,-1,39.65,1,3964.77,10.91,5.95,3.96,1.0,0.0,0.0,1,100,20161229
SH603819,5923,6111,-1,39.65,1,3964.77,10.91,5.95,3.96,1.0,0.0,0.0,1,100,20161229
SH603819,5924,6112,-1,39.65,1,3964.77,10.91,5.95,3.96,1.0,0.0,0.0,1,100,20161229
SZ300563,5925,6113,-1,60.67,1,6067.39,15.17,9.1,6.07,0.0,0.0,0.0,1,100,20161229
SZ300376,5926,6114,-1,49.06,1,4906.33,12.27,7.36,4.91,0.0,0.0,0.0,1,100,20161229
SH600853,5927,6115,-1,7.03,1,703.4,6.7,5.0,0.7,1.0,0.0,0.0,1,100,20161229
SZ000953,5928,6116,-1,17.05,1,1705.38,6.71,5.0,1.71,0.0,0.0,0.0,1,100,20161229
SH600228,5929,6117,-1,19.94,1,1994.13,7.99,5.0,1.99,1.0,0.0,0.0,1,100,20161229
SZ000885,5930,6118,-1,20.51,1,2051.49,7.05,5.0,2.05,0.0,0.0,0.0,1,100,20161229
SZ300402,5931,6119,-1,26.53,1,2652.71,7.65,5.0,2.65,0.0,0.0,0.0,1,100,20161229
