symbol,trader_id,order_id,direction,price,comb_offset,cost,fee,commission,stamp,transfer,daily_profit,settle_price,amount,min_volume,create_time
SZ002822,11325,11484,1,12.46,0,1245.98,5.0,5.0,0.0,0.0,54.02,13.05,1,100,20171024
SZ300117,11326,11485,1,7.85,0,784.73,5.0,5.0,0.0,0.0,-14.73,7.75,1,100,20171024
SZ002877,11327,11486,1,31.73,0,3173.34,5.0,5.0,0.0,0.0,151.66,33.3,1,100,20171024
SH600822,11328,11488,1,14.35,0,1434.76,6.0,5.0,0.0,1.0,18.24,14.59,1,100,20171024
SZ000633,11329,11489,1,10.08,0,1007.7,5.0,5.0,0.0,0.0,-13.7,9.99,1,100,20171024
SH600716,11330,11490,1,5.99,0,598.76,6.0,5.0,0.0,1.0,-15.76,5.89,1,100,20171024
SH600119,11331,11491,1,18.7,0,1870.12,6.0,5.0,0.0,1.0,-57.12,18.19,1,100,20171024
SZ002856,11332,11492,1,42.68,0,4268.15,6.4,6.4,0.0,0.0,75.45,43.5,1,100,20171024
SZ300277,11333,11493,1,14.2,0,1420.2,5.0,5.0,0.0,0.0,-58.2,13.67,1,100,20171024
SZ300703,11334,11496,-1,43.42,1,4342.18,10.86,6.51,4.34,0.0,0.0,0.0,1,100,20171024
SZ300703,11335,11497,-1,43.42,1,4342.18,10.86,6.51,4.34,0.0,0.0,0.0,1,100,20171024
SZ300703,11336,11498,-1,43.42,1,4342.18,10.86,6.51,4.34,0.0,0.0,0.0,1,100,20171024
SZ300703,11337,11499,-1,43.42,1,4342.18,10.86,6.51,4.34,0.0,0.0,0.0,1,100,20171024
SZ300703,11338,11500,-1,43.42,1,4342.18,10.86,6.51,4.34,0.0,0.0,0.0,1,100,20171024
SZ002901,11339,11501,-1,43.66,1,4366.47,10.92,6.55,4.37,0.0,0.0,0.0,1,100,20171024
SH603533,11340,11502,-1,32.42,1,3242.0,9.24,5.0,3.24,1.0,0.0,0.0,1,100,20171024
SH603963,11341,11503,-1,37.15,1,3714.72,10.29,5.57,3.71,1.0,0.0,0.0,1,100,20171024
SH603106,11342,11504,-1,33.42,1,3341.72,9.35,5.01,3.34,1.0,0.0,0.0,1,100,20171024
SZ002901,11343,11505,-1,43.66,1,4366.47,10.92,6.55,4.37,0.0,0.0,0.0,1,100,20171024
SH603106,11344,11506,-1,33.42,1,3341.72,9.35,5.01,3.34,1.0,0.0,0.0,1,100,20171024
SH603533,11345,11507,-1,32.42,1,3242.0,9.24,5.0,3.24,1.0,0.0,0.0,1,100,20171024
SZ300354,11346,11508,-1,17.37,1,1737.12,6.74,5.0,1.74,0.0,0.0,0.0,1,100,20171024
SZ002895,11347,11509,-1,28.34,1,2834.06,7.83,5.0,2.83,0.0,0.0,0.0,1,100,20171024
SH603648,11348,11510,-1,33.38,1,3337.73,9.34,5.01,3.34,1.0,0.0,0.0,1,100,20171024
SZ000010,11349,11511,-1,6.86,1,686.47,5.69,5.0,0.69,0.0,0.0,0.0,1,100,20171024
SH600132,11350,11512,-1,20.62,1,2061.56,8.06,5.0,2.06,1.0,0.0,0.0,1,100,20171024
SH603535,11351,11513,-1,34.28,1,3427.58,9.57,5.14,3.43,1.0,0.0,0.0,1,100,20171024
SZ300701,11352,11514,-1,48.14,1,4813.86,12.03,7.22,4.81,0.0,0.0,0.0,1,100,20171024
SH900927,11353,11515,-1,0.94,1,94.49,6.09,5.0,0.09,1.0,0.0,0.0,1,100,20171024
