,available_cash,chg,interests,log_chg,mktime,profit,retrace,value
0,899994.52,0.0002,900175.75,-0.0002,20160105,175.75,0.0195,1.0
1,900179.49,0.0008,900868.58,-0.0008,20160106,692.83,0.077,1.0
2,898475.17,-0.0018,899257.95,0.0018,20160107,-1610.63,-0.1788,1.0
3,899860.91,-0.0022,897284.85,0.0022,20160108,-1973.11,-0.3978,1.0
4,896009.35,-0.0106,887740.63,0.0106,20160111,-9544.21,-1.4573,0.99
5,888769.53,-0.0131,876072.53,0.0131,20160112,-11668.11,-2.7525,0.97
6,897303.71,-0.0032,873253.39,0.0032,20160113,-2819.13,-3.0654,0.97
7,899479.87,0.0008,873989.44,-0.0008,20160114,736.04,-2.9837,0.97
8,900312.34,-0.0013,872819.6,0.0013,20160115,-1169.84,-3.1135,0.97
9,898021.39,-0.0017,871337.86,0.0017,20160118,-1481.73,-3.278,0.97
10,900059.14,0.0015,872612.2,-0.0015,20160119,1274.34,-3.1366,0.97
11,902218.45,0.0025,874815.01,-0.0025,20160120,2202.81,-2.8921,0.97
12,899091.15,-0.0077,868077.18,0.0077,20160121,-6737.83,-3.64,0.96
13,897602.75,-0.0017,866611.05,0.0017,20160122,-1466.13,-3.8027,0.96
14,903109.4,0.0051,871025.25,-0.0051,20160125,4414.2,-3.3127,0.97
15,892574.91,-0.0082,863889.36,0.0082,20160126,-7135.9,-4.1048,0.96
16,899755.74,0.001,864758.57,-0.001,20160127,869.21,-4.0084,0.96
17,899343.09,-0.0011,863825.14,0.0011,20160128,-933.42,-4.112,0.96
18,900565.51,0.001,864723.03,-0.001,20160129,897.88,-4.0123,0.96
19,899574.57,-0.0049,860523.88,0.0048,20160201,-4199.15,-4.4784,0.96
20,906210.68,0.0098,868925.53,-0.0098,20160202,8401.66,-3.5458,0.97
21,900903.78,0.0024,871053.33,-0.0025,20160203,2127.8,-3.3096,0.97
22,905910.04,0.0077,877783.11,-0.0078,20160204,6729.77,-2.5626,0.98
23,900171.27,-0.0029,875238.68,0.0029,20160205,-2544.42,-2.845,0.97
24,894422.59,-0.0051,870796.41,0.0051,20160215,-4442.27,-3.3381,0.97
