mktime,interests,profit,value,daily_value,all_profit,close_profit,prosition_profit,settle_available_cash,position_cost,fee,retrace,value_chg,log_chg,last_profit,max_profit
20160105,900175.75,175.75,1.0,1.0,175.75,0.0,181.23,899994.52,3653.29,5.48,0.02,0.0002,-0.0002,0.0,0.0
20160106,900868.58,692.83,1.0,1.0,692.83,232.51,513.34,900179.49,28867.36,53.02,0.08,0.0008,-0.0008,175.75,175.75
20160107,899257.95,-1610.63,1.0,1.0,-1610.63,-1457.09,-85.8,898475.17,9839.04,67.74,-0.18,-0.0018,0.0018,868.58,868.58
20160108,897284.85,-1973.11,1.0,1.0,-1973.11,1.27,-1834.02,899860.91,86203.71,140.36,-0.4,-0.0022,0.0022,-742.05,868.58
20160111,887740.63,-9544.21,0.99,0.99,-9544.21,-3607.03,-5553.56,896009.35,113875.75,383.62,-1.46,-0.0106,0.0106,-2715.15,868.58
20160112,876072.53,-11668.11,0.97,0.99,-11668.11,-10921.99,-437.64,888769.53,29853.57,308.48,-2.75,-0.0131,0.0131,-12259.37,868.58
20160113,873253.39,-2819.13,0.97,1.0,-2819.13,-2566.4,-122.84,897303.71,49095.2,129.89,-3.07,-0.0032,0.0032,-23927.47,868.58
20160114,873989.44,736.04,0.97,1.0,736.04,-315.61,1256.17,899479.87,38878.51,204.52,-2.98,0.0008,-0.0008,-26746.61,868.58
20160115,872819.6,-1169.84,0.97,1.0,-1169.84,465.41,-1482.18,900312.34,46171.92,153.07,-3.11,-0.0013,0.0013,-26010.56,868.58
20160118,871337.86,-1481.73,0.97,1.0,-1481.73,-1861.96,496.88,898021.39,12947.7,116.65,-3.28,-0.0017,0.0017,-27180.4,868.58
20160119,872612.2,1274.34,0.97,1.0,1274.34,152.07,1215.19,900059.14,49146.09,92.93,-3.14,0.0015,-0.0015,-28662.14,868.58
20160120,874815.01,2202.81,0.97,1.0,2202.81,2356.13,-15.64,902218.45,22292.2,137.68,-2.89,0.0025,-0.0025,-27387.8,868.58
20160121,868077.18,-6737.83,0.96,0.99,-6737.83,-659.72,-5828.97,899091.15,136098.38,249.13,-3.64,-0.0077,0.0077,-25184.99,868.58
20160122,866611.05,-1466.13,0.96,1.0,-1466.13,-1968.35,931.13,897602.75,91775.84,428.9,-3.8,-0.0017,0.0017,-31922.82,868.58
20160125,871025.25,4414.2,0.97,1.01,4414.2,3336.41,1304.8,903109.4,132638.84,227.01,-3.31,0.0051,-0.0051,-33388.95,868.58
20160126,863889.36,-7135.9,0.96,0.99,-7135.9,-7058.34,289.2,892574.91,13047.23,366.75,-4.1,-0.0082,0.0082,-28974.75,868.58
20160127,864758.57,869.21,0.96,1.0,869.21,-186.48,1113.46,899755.74,27444.37,57.78,-4.01,0.001,-0.001,-36110.64,868.58
