symbol,trader_id,order_id,direction,price,comb_offset,cost,fee,commission,stamp,transfer,daily_profit,settle_price,amount,min_volume,create_time
SZ002840,6576,6668,1,21.98,0,2198.21,5.0,5.0,0.0,0.0,26.79,22.3,1,100,20170125
SZ002839,6577,6669,1,6.92,0,692.0,5.0,5.0,0.0,0.0,-5.0,6.92,1,100,20170125
SH603628,6578,6670,1,17.62,0,1762.07,6.0,5.0,0.0,1.0,75.93,18.44,1,100,20170125
SZ300598,6579,6671,1,16.73,0,1673.0,5.0,5.0,0.0,0.0,-5.0,16.73,1,100,20170125
SZ300099,6580,6672,1,10.22,0,1022.37,5.0,5.0,0.0,0.0,-23.37,10.04,1,100,20170125
SZ000825,6581,6673,1,5.16,0,515.89,5.0,5.0,0.0,0.0,-7.89,5.13,1,100,20170125
SZ002842,6582,6674,1,24.07,0,2407.0,5.0,5.0,0.0,0.0,-5.0,24.07,1,100,20170125
SZ002346,6583,6675,1,39.0,0,3900.41,5.85,5.85,0.0,0.0,122.74,40.29,1,100,20170125
SH603037,6584,6676,1,30.69,0,3069.0,6.0,5.0,0.0,1.0,-6.0,30.69,1,100,20170125
SZ300596,6585,6677,1,23.82,0,2382.0,5.0,5.0,0.0,0.0,-5.0,23.82,1,100,20170125
SH603038,6586,6678,1,57.44,0,5743.68,9.62,8.62,0.0,1.0,71.7,58.25,1,100,20170125
SZ002836,6587,6679,1,41.98,0,4197.72,6.3,6.3,0.0,0.0,95.98,43.0,1,100,20170125
SZ300586,6588,6680,1,34.13,0,3412.77,5.12,5.12,0.0,0.0,26.11,34.44,1,100,20170125
SH603039,6589,6681,1,46.01,0,4601.0,7.9,6.9,0.0,1.0,-7.9,46.01,1,100,20170125
SZ300402,6590,6682,1,29.39,0,2939.36,5.0,5.0,0.0,0.0,-58.36,28.86,1,100,20170125
SZ002836,6591,6684,-1,41.98,1,4197.72,10.49,6.3,4.2,0.0,0.0,0.0,1,100,20170125
SZ300044,6592,6685,-1,16.93,1,1693.49,6.69,5.0,1.69,0.0,0.0,0.0,1,100,20170125
SZ300585,6593,6686,-1,41.53,1,4153.03,10.38,6.23,4.15,0.0,0.0,0.0,1,100,20170125
SZ002838,6594,6687,-1,46.59,1,4658.65,11.65,6.99,4.66,0.0,0.0,0.0,1,100,20170125
SH603266,6595,6688,-1,36.92,1,3692.28,10.23,5.54,3.69,1.0,0.0,0.0,1,100,20170125
SZ002151,6596,6689,-1,31.02,1,3101.81,8.1,5.0,3.1,0.0,0.0,0.0,1,100,20170125
SZ300590,6597,6690,-1,66.08,1,6607.81,16.52,9.91,6.61,0.0,0.0,0.0,1,100,20170125
SZ300590,6598,6691,-1,66.08,1,6607.81,16.52,9.91,6.61,0.0,0.0,0.0,1,100,20170125
SZ000656,6599,6692,-1,5.62,1,561.93,5.56,5.0,0.56,0.0,0.0,0.0,1,100,20170125
SH603638,6600,6693,-1,12.62,1,1262.0,7.26,5.0,1.26,1.0,0.0,0.0,1,100,20170125
SZ300397,6601,6694,-1,25.3,1,2530.29,7.53,5.0,2.53,0.0,0.0,0.0,1,100,20170125
SZ002836,6602,6695,-1,41.98,1,4197.72,10.49,6.3,4.2,0.0,0.0,0.0,1,100,20170125
SZ300597,6603,6696,-1,9.64,1,964.0,5.96,5.0,0.96,0.0,0.0,0.0,1,100,20170125
SZ002602,6604,6697,-1,33.15,1,3314.7,8.31,5.0,3.31,0.0,0.0,0.0,1,100,20170125
SH601881,6605,6698,-1,11.87,1,1187.0,7.19,5.0,1.19,1.0,0.0,0.0,1,100,20170125
