symbol,trader_id,order_id,direction,price,comb_offset,cost,fee,commission,stamp,transfer,daily_profit,settle_price,amount,min_volume,create_time
SZ300710,11344,11453,1,23.36,0,2336.0,5.0,5.0,0.0,0.0,-5.0,23.36,1,100,20171020
SZ002903,11345,11454,1,29.63,0,2963.0,5.0,5.0,0.0,0.0,-5.0,29.63,1,100,20171020
SH603959,11346,11455,1,34.37,0,3437.0,6.16,5.16,0.0,1.0,-82.16,33.61,1,100,20171020
SZ002652,11347,11456,1,10.04,0,1003.92,5.0,5.0,0.0,0.0,16.08,10.25,1,100,20171020
SZ300439,11348,11457,1,23.55,0,2354.63,5.0,5.0,0.0,0.0,-19.63,23.4,1,100,20171020
SH603499,11349,11458,1,19.48,0,1948.0,6.0,5.0,0.0,1.0,-6.0,19.48,1,100,20171020
SH603110,11350,11459,1,30.25,0,3025.0,6.0,5.0,0.0,1.0,-6.0,30.25,1,100,20171020
SH603363,11351,11460,1,23.01,0,2300.53,6.0,5.0,0.0,1.0,-44.53,22.62,1,100,20171020
SZ300176,11352,11461,1,132.98,0,13298.4,19.95,19.95,0.0,0.0,-683.35,126.35,1,100,20171020
SH601086,11353,11463,1,11.83,0,1183.0,6.0,5.0,0.0,1.0,-6.0,11.83,1,100,20171020
SZ002893,11354,11465,1,37.47,0,3746.95,5.62,5.62,0.0,0.0,-79.57,36.73,1,100,20171020
SH603533,11355,11466,1,26.79,0,2679.0,6.0,5.0,0.0,1.0,-6.0,26.79,1,100,20171020
SZ002800,11356,11467,-1,45.57,1,4557.19,11.39,6.84,4.56,0.0,0.0,0.0,1,100,20171020
SZ300692,11357,11468,-1,51.72,1,5172.1,12.93,7.76,5.17,0.0,0.0,0.0,1,100,20171020
SH603396,11358,11469,-1,33.92,1,3392.0,9.48,5.09,3.39,1.0,0.0,0.0,1,100,20171020
SZ300247,11359,11470,-1,7.43,1,743.47,5.74,5.0,0.74,0.0,0.0,0.0,1,100,20171020
SZ002899,11360,11471,-1,42.9,1,4290.15,10.73,6.44,4.29,0.0,0.0,0.0,1,100,20171020
SZ000010,11361,11472,-1,7.02,1,701.55,5.7,5.0,0.7,0.0,0.0,0.0,1,100,20171020
SZ300706,11362,11473,-1,49.59,1,4959.0,12.4,7.44,4.96,0.0,0.0,0.0,1,100,20171020
SZ300654,11363,11474,-1,38.34,1,3834.0,9.59,5.75,3.83,0.0,0.0,0.0,1,100,20171020
SZ002757,11364,11475,-1,40.29,1,4028.86,10.07,6.04,4.03,0.0,0.0,0.0,1,100,20171020
SZ300597,11365,11476,-1,21.14,1,2114.21,7.11,5.0,2.11,0.0,0.0,0.0,1,100,20171020
SZ002906,11366,11477,-1,31.75,1,3175.0,8.18,5.0,3.18,0.0,0.0,0.0,1,100,20171020
