symbol,trader_id,order_id,direction,price,comb_offset,cost,fee,commission,stamp,transfer,daily_profit,settle_price,amount,min_volume,create_time
SZ002902,21442,21474,1,52.19,0,5219.37,7.83,7.83,0.0,0.0,52.8,52.8,1,100,20171024
SZ002822,21443,21549,1,12.46,0,1245.98,5.0,5.0,0.0,0.0,54.02,13.05,1,100,20171024
SZ300500,21444,21550,1,44.89,0,4489.45,6.73,6.73,0.0,0.0,9.82,45.06,1,100,20171024
SZ300707,21445,21551,1,55.42,0,5541.9,8.31,8.31,0.0,0.0,-162.21,53.88,1,100,20171024
SZ300117,21446,21552,1,7.85,0,784.73,5.0,5.0,0.0,0.0,-14.73,7.75,1,100,20171024
SZ300656,21447,21553,1,53.85,0,5384.81,8.08,8.08,0.0,0.0,55.11,54.48,1,100,20171024
SZ002877,21448,21554,1,31.73,0,3173.34,5.0,5.0,0.0,0.0,151.66,33.3,1,100,20171024
SH603922,21449,21555,1,27.79,0,2779.0,6.0,5.0,0.0,1.0,-6.0,27.79,1,100,20171024
SH603128,21450,21556,1,12.78,0,1277.86,6.0,5.0,0.0,1.0,-40.86,12.43,1,100,20171024
SZ300706,21451,21557,1,60.01,0,6001.0,9.0,9.0,0.0,0.0,-9.0,60.01,1,100,20171024
SH600822,21452,21558,1,14.35,0,1434.76,6.0,5.0,0.0,1.0,18.24,14.59,1,100,20171024
SZ300705,21453,21559,1,37.45,0,3744.88,5.62,5.62,0.0,0.0,-108.5,36.42,1,100,20171024
SZ000633,21454,21560,1,10.08,0,1007.7,5.0,5.0,0.0,0.0,-13.7,9.99,1,100,20171024
SH600716,21455,21561,1,5.99,0,598.76,6.0,5.0,0.0,1.0,-15.76,5.89,1,100,20171024
SH600119,21456,21562,1,18.7,0,1870.12,6.0,5.0,0.0,1.0,-57.12,18.19,1,100,20171024
SZ002217,21457,21563,1,12.16,0,1215.77,5.0,5.0,0.0,0.0,-1.77,12.19,1,100,20171024
SZ002856,21458,21564,1,42.68,0,4268.15,6.4,6.4,0.0,0.0,75.45,43.5,1,100,20171024
SZ300277,21459,21565,1,14.2,0,1420.2,5.0,5.0,0.0,0.0,-58.2,13.67,1,100,20171024
SZ300585,21460,21566,1,26.57,0,2656.52,5.0,5.0,0.0,0.0,-123.52,25.38,1,100,20171024
SZ300708,21461,21567,1,7.21,0,721.0,5.0,5.0,0.0,0.0,-5.0,7.21,1,100,20171024
SZ002906,21462,21568,1,33.19,0,3319.08,5.0,5.0,0.0,0.0,50.92,33.75,1,100,20171024
SZ300692,21463,21569,-1,48.61,1,4861.05,12.15,7.29,4.86,0.0,0.0,0.0,1,100,20171024
SZ300354,21464,21570,-1,17.37,1,1737.12,6.74,5.0,1.74,0.0,0.0,0.0,1,100,20171024
SZ002895,21465,21571,-1,28.34,1,2834.06,7.83,5.0,2.83,0.0,0.0,0.0,1,100,20171024
SH603396,21466,21572,-1,41.04,1,4104.0,11.26,6.16,4.1,1.0,0.0,0.0,1,100,20171024
SH603648,21467,21573,-1,33.38,1,3337.73,9.34,5.01,3.34,1.0,0.0,0.0,1,100,20171024
SZ000010,21468,21574,-1,6.86,1,686.47,5.69,5.0,0.69,0.0,0.0,0.0,1,100,20171024
SZ002907,21469,21575,-1,7.89,1,789.0,5.79,5.0,0.79,0.0,0.0,0.0,1,100,20171024
SH600132,21470,21576,-1,20.62,1,2061.56,8.06,5.0,2.06,1.0,0.0,0.0,1,100,20171024
SZ300275,21471,21577,-1,17.79,1,1779.16,6.78,5.0,1.78,0.0,0.0,0.0,1,100,20171024
SH603535,21472,21578,-1,34.28,1,3427.58,9.57,5.14,3.43,1.0,0.0,0.0,1,100,20171024
SH603466,21473,21579,-1,28.86,1,2886.0,8.89,5.0,2.89,1.0,0.0,0.0,1,100,20171024
SZ300562,21474,21580,-1,28.72,1,2872.11,7.87,5.0,2.87,0.0,0.0,0.0,1,100,20171024
SH603363,21475,21581,-1,19.73,1,1973.38,7.97,5.0,1.97,1.0,0.0,0.0,1,100,20171024
SZ002192,21476,21582,-1,46.53,1,4652.97,11.63,6.98,4.65,0.0,0.0,0.0,1,100,20171024
SZ000905,21477,21583,-1,13.88,1,1388.13,6.39,5.0,1.39,0.0,0.0,0.0,1,100,20171024
SZ002905,21478,21584,-1,51.94,1,5193.56,12.98,7.79,5.19,0.0,0.0,0.0,1,100,20171024
SH601086,21479,21585,-1,12.46,1,1246.16,7.25,5.0,1.25,1.0,0.0,0.0,1,100,20171024
SH601228,21480,21586,-1,7.11,1,710.76,6.71,5.0,0.71,1.0,0.0,0.0,1,100,20171024
SZ300701,21481,21587,-1,48.14,1,4813.86,12.03,7.22,4.81,0.0,0.0,0.0,1,100,20171024
SH900927,21482,21588,-1,0.94,1,94.49,6.09,5.0,0.09,1.0,0.0,0.0,1,100,20171024
SZ002908,21483,21589,-1,13.21,1,1321.0,6.32,5.0,1.32,0.0,0.0,0.0,1,100,20171024
SZ002889,21484,21590,-1,39.93,1,3993.1,9.98,5.99,3.99,0.0,0.0,0.0,1,100,20171024
SZ002906,21485,21591,-1,33.19,1,3319.08,8.32,5.0,3.32,0.0,0.0,0.0,1,100,20171024
