symbol,trader_id,order_id,direction,price,comb_offset,cost,fee,commission,stamp,transfer,daily_profit,settle_price,amount,min_volume,create_time
SZ300223,4602,4673,1,44.44,0,4443.53,6.67,6.67,0.0,0.0,-50.2,44.0,1,100,20160602
SH603986,8005,8128,1,181.27,0,18127.16,28.19,27.19,0.0,1.0,-358.35,177.97,1,100,20160914
SH600699,9790,9956,1,33.62,0,3361.68,6.04,5.04,0.0,1.0,116.28,34.84,1,100,20161115
SH600482,10146,10320,1,32.49,0,3248.75,6.0,5.0,0.0,1.0,-52.75,32.02,1,100,20161124
SZ000607,10398,10572,1,16.74,0,1673.53,5.0,5.0,0.0,0.0,30.47,17.09,1,100,20161201
SZ000518,10430,10604,1,8.33,0,832.57,5.0,5.0,0.0,0.0,-1.57,8.36,1,100,20161202
SZ002735,10442,10617,1,63.53,0,6353.18,9.53,9.53,0.0,0.0,256.29,66.19,1,100,20161202
SH603322,10482,10659,1,83.48,0,8348.31,13.52,12.52,0.0,1.0,-109.83,82.52,1,100,20161205
SZ002822,10483,10660,1,21.56,0,2156.0,5.0,5.0,0.0,0.0,-5.0,21.56,1,100,20161205
SZ300561,10484,10661,1,118.04,0,11804.0,17.71,17.71,0.0,0.0,-17.71,118.04,1,100,20161205
SH603900,10485,10662,1,43.97,0,4397.0,7.6,6.6,0.0,1.0,-7.6,43.97,1,100,20161205
SZ002389,10486,10663,1,24.74,0,2473.75,5.0,5.0,0.0,0.0,15.25,24.94,1,100,20161205
SZ300567,10487,10664,1,67.64,0,6764.0,10.15,10.15,0.0,0.0,-10.15,67.64,1,100,20161205
SZ300376,10488,10665,1,42.03,0,4202.68,6.3,6.3,0.0,0.0,26.02,42.35,1,100,20161205
SH603977,10489,10666,1,39.03,0,3902.93,6.85,5.85,0.0,1.0,-230.78,36.79,1,100,20161205
SZ000922,10490,10667,1,12.86,0,1286.4,5.0,5.0,0.0,0.0,-6.4,12.85,1,100,20161205
SZ002823,10491,10668,1,38.54,0,3854.0,5.78,5.78,0.0,0.0,-5.78,38.54,1,100,20161205
SH603819,10492,10669,1,22.37,0,2237.0,6.0,5.0,0.0,1.0,-6.0,22.37,1,100,20161205
SZ002819,10493,10670,1,32.81,0,3281.0,5.0,5.0,0.0,0.0,-5.0,32.81,1,100,20161205
SH601882,10494,10671,1,14.54,0,1454.0,6.0,5.0,0.0,1.0,-6.0,14.54,1,100,20161205
SH603660,10495,10672,1,13.99,0,1399.0,6.0,5.0,0.0,1.0,-6.0,13.99,1,100,20161205
SZ300562,10496,10673,1,77.75,0,7775.0,11.66,11.66,0.0,0.0,-11.66,77.75,1,100,20161205
SZ300569,10497,10674,1,106.06,0,10606.0,15.91,15.91,0.0,0.0,-15.91,106.06,1,100,20161205
SH603559,10498,10675,1,16.38,0,1638.0,6.0,5.0,0.0,1.0,-6.0,16.38,1,100,20161205
SZ300565,10499,10676,1,29.8,0,2980.0,5.0,5.0,0.0,0.0,-5.0,29.8,1,100,20161205
SZ002735,10500,10677,1,65.13,0,6512.62,9.77,9.77,0.0,0.0,96.61,66.19,1,100,20161205
SZ002820,10501,10679,1,66.28,0,6627.72,9.94,9.94,0.0,0.0,-97.66,65.4,1,100,20161205
SZ002697,10502,10680,1,7.38,0,738.24,5.0,5.0,0.0,0.0,-3.24,7.4,1,100,20161205
SZ002816,10503,10681,1,60.5,0,6049.78,9.07,9.07,0.0,0.0,-53.85,60.05,1,100,20161205
SZ300566,10504,10682,1,80.3,0,8029.62,12.04,12.04,0.0,0.0,-43.66,79.98,1,100,20161205
SH600493,10505,10683,1,17.69,0,1768.56,6.0,5.0,0.0,1.0,42.44,18.17,1,100,20161205
SZ002825,10506,10684,1,21.43,0,2143.0,5.0,5.0,0.0,0.0,-5.0,21.43,1,100,20161205
SZ002821,10507,10686,1,125.46,0,12546.0,18.82,18.82,0.0,0.0,-18.82,125.46,1,100,20161205
SZ002803,10508,10687,1,59.86,0,5985.55,8.98,8.98,0.0,0.0,125.47,61.2,1,100,20161205
SZ300506,10509,10688,1,55.93,0,5593.02,8.39,8.39,0.0,0.0,205.59,58.07,1,100,20161205
