,available_cash,chg,interests,log_chg,mktime,profit,retrace,value
0,399993.71,-0.0002,399926.8,0.0002,20170106,-73.2,-0.0183,1.0
1,399946.37,0.0016,400551.22,-0.0016,20170109,624.42,0.1378,1.0
2,400142.42,0.0011,400978.76,-0.0011,20170110,427.54,0.1067,1.0
3,399619.9,-0.0009,400598.66,0.0009,20170111,-380.1,-0.0948,1.0
4,399978.97,-0.0014,400025.07,0.0014,20170112,-573.59,-0.2378,1.0
5,399041.09,-0.0034,398655.17,0.0034,20170113,-1369.9,-0.5795,1.0
6,399199.32,-0.0023,397752.0,0.0023,20170116,-903.17,-0.8047,0.99
7,400212.77,0.001,398135.01,-0.001,20170117,383.01,-0.7092,1.0
8,400535.08,0.001,398544.56,-0.001,20170118,409.55,-0.6071,1.0
9,399743.3,-0.0004,398380.78,0.0004,20170119,-163.77,-0.6479,1.0
10,400802.47,0.0038,399907.81,-0.0038,20170120,1527.02,-0.2671,1.0
11,400912.36,0.0006,400132.08,-0.0006,20170123,224.27,-0.2112,1.0
12,399495.95,-0.0024,399167.65,0.0024,20170124,-964.43,-0.4517,1.0
13,399984.93,-0.0,399152.58,0.0,20170125,-15.07,-0.4554,1.0
14,399994.0,0.0001,399201.82,-0.0001,20170126,49.24,-0.4432,1.0
15,399883.51,-0.0033,397874.23,0.0033,20170203,-1327.59,-0.7742,0.99
16,398934.86,0.0105,402051.28,-0.0106,20170206,4177.05,0.2675,1.01
17,402944.42,0.0085,405451.4,-0.0085,20170207,3400.12,0.8457,1.01
18,402108.87,0.0096,409348.95,-0.0097,20170208,3897.55,0.9613,1.02
19,401478.35,0.0033,410680.1,-0.0033,20170209,1331.15,0.3252,1.03
20,399636.25,-0.0075,407612.45,0.0074,20170210,-3067.65,-0.747,1.02
21,399137.87,-0.0012,407130.67,0.0012,20170213,-481.78,-0.8643,1.02
22,404804.4,0.0132,412516.62,-0.0133,20170214,5385.95,0.4472,1.03
23,402165.5,0.0044,414334.98,-0.0044,20170215,1818.36,0.4408,1.04
24,398465.29,-0.0059,411891.52,0.0059,20170216,-2443.46,-0.5897,1.03
25,397396.89,-0.0063,409288.41,0.0063,20170217,-2603.11,-1.218,1.02
26,399793.34,-0.0058,406907.95,0.0058,20170220,-2380.46,-1.7925,1.02
27,400302.74,0.0027,408008.91,-0.0027,20170221,1100.96,-1.5268,1.02
28,399677.65,0.0006,408238.7,-0.0006,20170222,229.79,-1.4713,1.02
29,401077.84,0.0079,411477.27,-0.008,20170223,3238.56,-0.6897,1.03
30,400988.05,0.0052,413606.57,-0.0052,20170224,2129.3,-0.1758,1.03
31,398116.65,-0.0049,411559.4,0.0049,20170227,-2047.17,-0.6699,1.03
32,402094.64,0.0079,414809.54,-0.0079,20170228,3250.14,0.1145,1.04
33,399990.85,-0.0019,414033.46,0.0019,20170301,-776.08,-0.1871,1.04
34,399916.36,-0.0002,413965.27,0.0002,20170302,-68.19,-0.2035,1.03
35,399928.99,0.0005,414183.81,-0.0005,20170303,218.54,-0.1508,1.04
36,399624.18,0.0043,415981.64,-0.0044,20170306,1797.83,0.2826,1.04
37,400806.43,0.0054,418243.35,-0.0055,20170307,2261.71,0.5437,1.05
38,401392.54,0.0048,420242.69,-0.0048,20170308,1999.35,0.478,1.05
39,399455.15,-0.0003,420102.24,0.0003,20170309,-140.45,-0.0334,1.05
