mktime,interests,profit,value,daily_value,all_profit,close_profit,prosition_profit,settle_available_cash,position_cost,fee,retrace,value_chg,log_chg,last_profit,max_profit
20170106,399926.8,-73.2,1.0,1.0,-73.2,0.0,-66.91,399993.71,4193.62,6.29,-0.02,-0.0002,0.0002,0.0,0.0
20170109,400551.22,624.42,1.0,1.0,624.42,-33.18,678.06,399946.37,6701.89,20.45,0.14,0.0016,-0.0016,-73.2,0.0
20170110,400978.76,427.54,1.0,1.0,427.54,186.94,285.12,400142.42,17529.59,44.52,0.11,0.0011,-0.0011,551.22,551.22
20170111,400598.66,-380.1,1.0,1.0,-380.1,-320.17,0.0,399619.9,0.0,59.93,-0.09,-0.0009,0.0009,978.76,978.76
20170112,400025.07,-573.59,1.0,1.0,-573.59,0.0,-552.57,399978.97,13350.54,21.03,-0.24,-0.0014,0.0014,598.66,978.76
20170113,398655.17,-1369.9,1.0,1.0,-1369.9,-911.56,-410.99,399041.09,10168.74,47.35,-0.58,-0.0034,0.0034,25.07,978.76
20170116,397752.0,-903.17,0.99,1.0,-903.17,-769.22,-102.48,399199.32,5309.52,31.46,-0.8,-0.0023,0.0023,-1344.83,978.76
20170117,398135.01,383.01,1.0,1.0,383.01,248.9,170.24,400212.77,5558.42,36.13,-0.71,0.001,-0.001,-2248.0,978.76
20170118,398544.56,409.55,1.0,1.0,409.55,566.79,-125.53,400535.08,10267.13,31.71,-0.61,0.001,-0.001,-1864.99,978.76
20170119,398380.78,-163.77,1.0,1.0,-163.77,-181.5,92.93,399743.3,22281.65,75.2,-0.65,-0.0004,0.0004,-1455.44,978.76
20170120,399907.81,1527.02,1.0,1.0,1527.02,876.6,724.56,400802.47,23949.52,74.13,-0.27,0.0038,-0.0038,-1619.22,978.76
20170123,400132.08,224.27,1.0,1.0,224.27,1073.13,-688.09,400912.36,63089.88,160.77,-0.21,0.0006,-0.0006,-92.19,978.76
20170124,399167.65,-964.43,1.0,1.0,-964.43,-395.21,-460.38,399495.95,20629.44,108.84,-0.45,-0.0024,0.0024,132.08,978.76
20170125,399152.58,-15.07,1.0,1.0,-15.07,36.6,0.0,399984.93,0.0,51.67,-0.46,-0.0,0.0,-832.35,978.76
20170126,399201.82,49.24,1.0,1.0,49.24,0.0,55.24,399994.0,2352.76,6.0,-0.44,0.0001,-0.0001,-847.42,978.76
20170203,397874.23,-1327.59,0.99,1.0,-1327.59,183.44,-1211.1,399883.51,190229.71,299.93,-0.77,-0.0033,0.0033,-798.18,978.76
20170206,402051.28,4177.05,1.01,1.01,4177.05,-701.94,5242.19,398934.86,194607.08,363.2,0.27,0.0105,-0.0106,-2125.77,978.76
20170207,405451.4,3400.12,1.01,1.01,3400.12,3106.26,455.71,402944.42,134426.73,161.84,0.85,0.0085,-0.0085,2051.28,2051.28
20170208,409348.95,3897.55,1.02,1.01,3897.55,2329.9,1788.68,402108.87,65001.82,221.03,0.96,0.0096,-0.0097,5451.4,5451.4
20170209,410680.1,1331.15,1.03,1.0,1331.15,1633.94,-147.2,401478.35,50971.47,155.59,0.33,0.0033,-0.0033,9348.95,9348.95
20170210,407612.45,-3067.65,1.02,0.99,-3067.65,-110.75,-2703.91,399636.25,125628.67,253.0,-0.75,-0.0075,0.0074,10680.1,10680.1
20170213,407130.67,-481.78,1.02,1.0,-481.78,-381.06,380.36,399137.87,121924.03,481.07,-0.86,-0.0012,0.0012,7612.45,10680.1
20170214,412516.62,5385.95,1.03,1.01,5385.95,5097.45,581.55,404804.4,49413.35,293.05,0.45,0.0132,-0.0133,7130.67,10680.1
20170215,414334.98,1818.36,1.04,1.0,1818.36,2320.01,-347.14,402165.5,42493.12,154.51,0.44,0.0044,-0.0044,12516.62,12516.62
20170216,411891.52,-2443.46,1.03,0.99,-2443.46,-1318.35,-908.75,398465.29,74031.42,216.36,-0.59,-0.0059,0.0059,14334.98,14334.98
20170217,409288.41,-2603.11,1.02,0.99,-2603.11,-2415.77,0.0,397396.89,0.0,187.34,-1.22,-0.0063,0.0063,11891.52,14334.98
20170220,406907.95,-2380.46,1.02,0.99,-2380.46,0.0,-2173.8,399793.34,132540.14,206.66,-1.79,-0.0058,0.0058,9288.41,14334.98
20170221,408008.91,1100.96,1.02,1.0,1100.96,561.31,798.21,400302.74,46984.79,258.57,-1.53,0.0027,-0.0027,6907.95,14334.98
20170222,408238.7,229.79,1.02,1.0,229.79,-208.35,552.14,399677.65,63517.49,114.0,-1.47,0.0006,-0.0006,8008.91,14334.98
20170223,411477.27,3238.56,1.03,1.01,3238.56,1239.01,2160.72,401077.84,98805.89,161.17,-0.69,0.0079,-0.008,8238.7,14334.98
20170224,413606.57,2129.3,1.03,1.01,2129.3,1295.74,1141.25,400988.05,200401.87,307.69,-0.18,0.0052,-0.0052,11477.27,14334.98
20170227,411559.4,-2047.17,1.03,1.0,-2047.17,-1580.04,-163.82,398116.65,192451.93,303.31,-0.67,-0.0049,0.0049,13606.57,14334.98
20170228,414809.54,3250.14,1.04,1.01,3250.14,2425.14,1155.49,402094.64,92199.32,330.5,0.11,0.0079,-0.0079,11559.4,14334.98
20170301,414033.46,-776.08,1.04,1.0,-776.08,151.64,-766.93,399990.85,51418.73,160.79,-0.19,-0.0019,0.0019,14809.54,14809.54
20170302,413965.27,-68.19,1.03,1.0,-68.19,-11.48,15.45,399916.36,43377.48,72.16,-0.2,-0.0002,0.0002,14033.46,14809.54
20170303,414183.81,218.54,1.04,1.0,218.54,-42.44,289.54,399928.99,46905.21,28.57,-0.15,0.0005,-0.0005,13965.27,14809.54
20170306,415981.64,1797.83,1.04,1.0,1797.83,-318.25,2173.65,399624.18,59363.69,57.57,0.28,0.0043,-0.0044,14183.81,14809.54
20170307,418243.35,2261.71,1.05,1.01,2261.71,907.69,1455.28,400806.43,55866.22,101.26,0.54,0.0054,-0.0055,15981.64,15981.64
20170308,420242.69,1999.35,1.05,1.0,1999.35,1539.55,606.81,401392.54,49954.48,147.01,0.48,0.0048,-0.0048,18243.35,18243.35
