symbol,order_id,comb_offset,direction,order_type,price,fee,commission,stamp,transfer,cost,hold_vol_id,status,amount,create_time,min_volume
SZ200029,1305,0,1,5,6.2,5.0,5.0,0.0,0.0,619.53,0,3,1,20160302,100
SZ200505,1306,0,1,5,5.76,5.0,5.0,0.0,0.0,575.51,0,3,1,20160302,100
SH600188,1307,1,-1,5,11.66,7.17,5.0,1.17,1.0,1166.21,1252,3,1,20160303,100
SZ000006,1308,1,-1,5,9.19,5.92,5.0,0.92,0.0,919.08,1253,3,1,20160303,100
SH600533,1309,1,-1,5,7.0,6.7,5.0,0.7,1.0,700.09,1255,3,1,20160303,100
SZ002075,1310,1,-1,5,13.58,6.36,5.0,1.36,0.0,1358.33,1256,3,1,20160303,100
SZ000982,1311,1,-1,5,7.92,5.79,5.0,0.79,0.0,791.82,1257,3,1,20160303,100
SZ000838,1312,1,-1,5,59.56,14.89,8.93,5.96,0.0,5955.99,1258,3,1,20160303,100
SZ000043,1313,1,-1,5,9.52,5.95,5.0,0.95,0.0,951.82,1259,3,1,20160303,100
SZ300329,1314,1,-1,5,25.58,7.56,5.0,2.56,0.0,2557.78,1260,3,1,20160303,100
SH600675,1315,1,-1,5,6.67,6.67,5.0,0.67,1.0,666.86,1261,3,1,20160303,100
SZ300401,1316,1,-1,5,36.82,9.21,5.52,3.68,0.0,3682.32,1263,3,1,20160303,100
SZ002092,1317,1,-1,5,8.08,5.81,5.0,0.81,0.0,808.44,1265,3,1,20160303,100
SZ002562,1318,1,-1,5,26.98,7.7,5.0,2.7,0.0,2697.79,1267,3,1,20160303,100
SZ200029,1319,1,-1,5,6.57,5.66,5.0,0.66,0.0,656.7,1270,3,1,20160303,100
