symbol,order_id,comb_offset,direction,order_type,price,fee,commission,stamp,transfer,cost,hold_vol_id,status,amount,create_time,min_volume
SZ002886,12136,0,1,5,40.89,6.13,6.13,0.0,0.0,4089.0,0,3,1,20170707,100
SZ000752,12233,0,1,5,14.12,5.0,5.0,0.0,0.0,1412.06,0,3,1,20170712,100
SZ002407,12234,0,1,5,24.08,5.0,5.0,0.0,0.0,2408.07,0,3,1,20170712,100
SH600578,12235,0,1,5,4.3,6.0,5.0,0.0,1.0,429.76,0,3,1,20170712,100
SZ300374,12236,0,1,5,27.63,5.0,5.0,0.0,0.0,2762.87,0,3,1,20170712,100
SZ002350,12237,0,1,5,14.59,5.0,5.0,0.0,0.0,1459.19,0,3,1,20170712,100
SZ002709,12238,0,1,5,46.03,6.9,6.9,0.0,0.0,4602.75,0,3,1,20170712,100
SH603305,12239,0,1,5,19.61,6.0,5.0,0.0,1.0,1961.0,0,3,1,20170712,100
SH603331,12240,0,1,5,22.35,6.0,5.0,0.0,1.0,2235.0,0,3,1,20170712,100
SZ000762,12242,0,1,5,15.81,5.0,5.0,0.0,0.0,1581.34,0,3,1,20170712,100
SZ000916,12243,0,1,5,10.29,5.0,5.0,0.0,0.0,1028.96,0,3,1,20170712,100
SH600326,12244,0,1,5,10.39,6.0,5.0,0.0,1.0,1039.22,0,3,1,20170712,100
SZ002809,12245,0,1,5,39.93,5.99,5.99,0.0,0.0,3992.54,0,3,1,20170712,100
SZ002582,12246,0,1,5,13.2,5.0,5.0,0.0,0.0,1319.69,0,3,1,20170712,100
SZ002160,12247,1,-1,5,8.3,5.83,5.0,0.83,0.0,829.51,12085,3,1,20170713,100
SZ002695,12248,1,-1,5,23.22,7.32,5.0,2.32,0.0,2322.05,12086,3,1,20170713,100
SH603305,12249,1,-1,5,20.79,8.08,5.0,2.08,1.0,2078.66,12087,3,1,20170713,100
SH603933,12250,1,-1,5,45.15,12.29,6.77,4.51,1.0,4514.54,12088,3,1,20170713,100
SH603617,12251,1,-1,5,26.57,8.66,5.0,2.66,1.0,2657.42,12089,3,1,20170713,100
SZ300670,12252,1,-1,5,28.5,7.85,5.0,2.85,0.0,2850.15,12090,3,1,20170713,100
SZ000912,12253,1,-1,5,10.96,6.1,5.0,1.1,0.0,1096.16,12094,3,1,20170713,100
SZ300592,12254,1,-1,5,23.81,7.38,5.0,2.38,0.0,2381.13,12095,3,1,20170713,100
