symbol,order_id,comb_offset,direction,order_type,price,fee,commission,stamp,transfer,cost,hold_vol_id,status,amount,create_time,min_volume
SZ002909,14629,0,1,5,23.07,5.0,5.0,0.0,0.0,2307.0,0,3,1,20171107,100
SZ002038,14675,0,1,5,33.74,5.06,5.06,0.0,0.0,3374.42,0,3,1,20171109,100
SZ300720,14676,0,1,5,22.51,5.0,5.0,0.0,0.0,2251.0,0,3,1,20171109,100
SZ300718,14677,0,1,5,35.57,5.34,5.34,0.0,0.0,3557.0,0,3,1,20171109,100
SH603938,14678,0,1,5,36.22,6.43,5.43,0.0,1.0,3621.92,0,3,1,20171109,100
SZ300201,14679,0,1,5,8.88,5.0,5.0,0.0,0.0,888.0,0,3,1,20171109,100
SZ300560,14680,0,1,5,35.59,5.34,5.34,0.0,0.0,3558.61,0,3,1,20171109,100
SZ002118,14681,0,1,5,7.68,5.0,5.0,0.0,0.0,767.8,0,3,1,20171109,100
SZ300465,14682,0,1,5,10.39,5.0,5.0,0.0,0.0,1039.05,0,3,1,20171109,100
SZ000823,14683,0,1,5,17.76,5.0,5.0,0.0,0.0,1775.88,0,3,1,20171109,100
SZ300613,14684,0,1,5,217.98,32.7,32.7,0.0,0.0,21797.63,0,3,1,20171109,100
SH603507,14685,0,1,5,50.31,8.55,7.55,0.0,1.0,5031.0,0,3,1,20171109,100
SZ300046,14686,0,1,5,21.58,5.0,5.0,0.0,0.0,2157.9,0,3,1,20171109,100
SZ300717,14687,0,1,5,27.3,5.0,5.0,0.0,0.0,2730.0,0,3,1,20171109,100
SZ002285,14688,0,1,5,12.64,5.0,5.0,0.0,0.0,1264.15,0,3,1,20171109,100
SH601313,14689,0,1,5,11.7,6.0,5.0,0.0,1.0,1170.0,0,3,1,20171109,100
SH600222,14690,0,1,5,5.86,6.0,5.0,0.0,1.0,586.35,0,3,1,20171109,100
SZ200053,14691,1,-1,5,23.62,7.36,5.0,2.36,0.0,2361.68,14384,3,1,20171110,100
SZ000852,14692,1,-1,5,12.18,6.22,5.0,1.22,0.0,1218.48,14437,3,1,20171110,100
SZ002079,14693,1,-1,5,9.27,5.93,5.0,0.93,0.0,927.26,14461,3,1,20171110,100
SH600129,14694,1,-1,5,16.75,7.68,5.0,1.68,1.0,1675.28,14465,3,1,20171110,100
SZ002026,14695,1,-1,5,9.31,5.93,5.0,0.93,0.0,930.56,14487,3,1,20171110,100
SZ002323,14696,1,-1,5,9.92,5.99,5.0,0.99,0.0,991.78,14489,3,1,20171110,100
SZ002828,14697,1,-1,5,30.94,8.09,5.0,3.09,0.0,3094.3,14494,3,1,20171110,100
SZ000813,14698,1,-1,5,8.81,5.88,5.0,0.88,0.0,881.02,14503,3,1,20171110,100
SZ300711,14699,1,-1,5,22.57,7.26,5.0,2.26,0.0,2256.74,14504,3,1,20171110,100
SZ000839,14700,1,-1,5,13.33,6.33,5.0,1.33,0.0,1333.37,14506,3,1,20171110,100
SH603659,14701,1,-1,5,36.94,10.24,5.54,3.69,1.0,3694.1,14507,3,1,20171110,100
SZ300603,14702,1,-1,5,46.65,11.66,7.0,4.67,0.0,4665.43,14508,3,1,20171110,100
SZ300688,14703,1,-1,5,76.56,19.14,11.48,7.66,0.0,7656.28,14509,3,1,20171110,100
SZ300088,14704,1,-1,5,10.78,6.08,5.0,1.08,0.0,1077.57,14510,3,1,20171110,100
SZ300707,14705,1,-1,5,73.28,18.32,10.99,7.33,0.0,7328.11,14511,3,1,20171110,100
SH600903,14706,1,-1,5,4.08,6.41,5.0,0.41,1.0,408.1,14512,3,1,20171110,100
SH603912,14707,1,-1,5,23.36,8.34,5.0,2.34,1.0,2336.24,14513,3,1,20171110,100
SZ000710,14708,1,-1,5,68.33,17.08,10.25,6.83,0.0,6833.22,14514,3,1,20171110,100
SZ002409,14709,1,-1,5,39.67,9.92,5.95,3.97,0.0,3966.52,14515,3,1,20171110,100
SZ002902,14710,1,-1,5,57.66,14.42,8.65,5.77,0.0,5766.2,14516,3,1,20171110,100
SZ300713,14711,1,-1,5,108.94,27.23,16.34,10.89,0.0,10893.62,14517,3,1,20171110,100
