symbol,trader_id,order_id,direction,price,comb_offset,cost,fee,commission,stamp,transfer,daily_profit,settle_price,amount,min_volume,create_time
SH600149,9580,9619,1,35.64,0,3564.49,6.35,5.35,0.0,1.0,-51.84,35.19,1,100,20161107
SZ000004,9581,9670,1,45.56,0,4555.98,6.83,6.83,0.0,0.0,-29.81,45.33,1,100,20161107
SZ000923,9582,9671,1,26.79,0,2679.45,5.0,5.0,0.0,0.0,53.55,27.38,1,100,20161107
SZ000019,9583,9672,1,20.39,0,2038.81,5.0,5.0,0.0,0.0,-83.81,19.6,1,100,20161107
SH603031,9584,9673,1,76.16,0,7616.12,12.42,11.42,0.0,1.0,-27.54,76.01,1,100,20161107
SH603339,9585,9674,1,51.27,0,5127.25,8.69,7.69,0.0,1.0,-169.94,49.66,1,100,20161107
SZ300461,9586,9675,1,77.92,0,7791.67,11.69,11.69,0.0,0.0,-123.36,76.8,1,100,20161107
SH603101,9587,9676,1,33.31,0,3330.72,6.0,5.0,0.0,1.0,178.28,35.15,1,100,20161107
SZ002811,9588,9677,1,47.91,0,4791.5,7.19,7.19,0.0,0.0,-9.69,47.89,1,100,20161107
SH601999,9589,9678,1,14.84,0,1484.36,6.0,5.0,0.0,1.0,-34.36,14.56,1,100,20161107
SH603313,9590,9679,1,52.88,0,5288.17,8.93,7.93,0.0,1.0,-29.1,52.68,1,100,20161107
SZ002137,9591,9680,1,16.39,0,1639.1,5.0,5.0,0.0,0.0,-13.1,16.31,1,100,20161107
SH603843,9592,9681,1,28.94,0,2894.2,6.0,5.0,0.0,1.0,60.8,29.61,1,100,20161107
SZ300451,9593,9682,1,44.13,0,4412.84,6.62,6.62,0.0,0.0,-185.46,42.34,1,100,20161107
SH600588,9594,9683,1,23.98,0,2398.43,6.0,5.0,0.0,1.0,10.57,24.15,1,100,20161107
SZ300153,9595,9684,1,24.01,0,2400.73,5.0,5.0,0.0,0.0,-103.73,23.02,1,100,20161107
SZ300556,9596,9685,1,8.78,0,878.0,5.0,5.0,0.0,0.0,-5.0,8.78,1,100,20161107
SZ300545,9597,9686,1,97.07,0,9706.99,14.56,14.56,0.0,0.0,-121.55,96.0,1,100,20161107
SH603028,9598,9687,1,29.6,0,2959.99,6.0,5.0,0.0,1.0,-138.99,28.27,1,100,20161107
SZ300402,9599,9688,1,25.27,0,2527.28,5.0,5.0,0.0,0.0,54.72,25.87,1,100,20161107
SZ300506,9600,9689,1,58.58,0,5858.3,8.79,8.79,0.0,0.0,-55.09,58.12,1,100,20161107
SH600653,9601,9690,-1,4.34,1,434.13,6.43,5.0,0.43,1.0,0.0,0.0,1,100,20161107
SZ002716,9602,9691,-1,26.14,1,2613.75,7.61,5.0,2.61,0.0,0.0,0.0,1,100,20161107
SZ002703,9603,9692,-1,49.88,1,4987.96,12.47,7.48,4.99,0.0,0.0,0.0,1,100,20161107
SZ002290,9604,9693,-1,25.58,1,2558.14,7.56,5.0,2.56,0.0,0.0,0.0,1,100,20161107
SZ300428,9605,9694,-1,32.97,1,3296.99,8.3,5.0,3.3,0.0,0.0,0.0,1,100,20161107
SZ002306,9606,9695,-1,8.76,1,876.17,5.88,5.0,0.88,0.0,0.0,0.0,1,100,20161107
SZ002782,9607,9696,-1,34.1,1,3409.89,8.52,5.11,3.41,0.0,0.0,0.0,1,100,20161107
SZ002817,9608,9697,-1,47.15,1,4715.0,11.79,7.07,4.71,0.0,0.0,0.0,1,100,20161107
SH601020,9609,9698,-1,48.5,1,4849.98,13.12,7.27,4.85,1.0,0.0,0.0,1,100,20161107
