symbol,order_id,comb_offset,direction,order_type,price,fee,commission,stamp,transfer,cost,hold_vol_id,status,amount,create_time,min_volume
SZ000911,474,0,1,5,14.69,5.0,5.0,0.0,0.0,1469.32,0,3,1,20160125,100
SZ300250,475,0,1,5,59.93,8.99,8.99,0.0,0.0,5992.73,0,3,1,20160125,100
SZ300343,477,1,-1,5,77.26,19.32,11.59,7.73,0.0,7726.41,260,3,1,20160126,100
SZ300343,478,1,-1,5,70.7,17.68,10.61,7.07,0.0,7070.4,260,3,1,20160126,100
SH600664,479,1,-1,5,9.24,6.92,5.0,0.92,1.0,923.94,284,3,1,20160126,100
SH900906,480,1,-1,5,0.68,6.07,5.0,0.07,1.0,67.94,353,3,1,20160126,100
SH600016,481,1,-1,5,8.31,6.83,5.0,0.83,1.0,830.8,356,3,1,20160126,100
SZ300495,482,1,-1,5,90.48,22.62,13.57,9.05,0.0,9048.21,379,3,1,20160126,100
SZ300495,483,1,-1,5,90.48,22.62,13.57,9.05,0.0,9048.21,385,3,1,20160126,100
SZ300111,484,1,-1,5,5.33,5.53,5.0,0.53,0.0,533.46,391,3,1,20160126,100
SZ002019,485,1,-1,5,44.0,11.0,6.6,4.4,0.0,4399.72,393,3,1,20160126,100
SZ300123,486,1,-1,5,12.13,6.21,5.0,1.21,0.0,1212.87,395,3,1,20160126,100
SZ002765,487,1,-1,5,23.07,7.31,5.0,2.31,0.0,2306.96,396,3,1,20160126,100
SH603508,488,1,-1,5,86.92,22.73,13.04,8.69,1.0,8692.08,407,3,1,20160126,100
SZ002786,489,1,-1,5,36.09,9.02,5.41,3.61,0.0,3609.17,408,3,1,20160126,100
SZ002786,490,1,-1,5,36.09,9.02,5.41,3.61,0.0,3609.17,409,3,1,20160126,100
SZ002786,491,1,-1,5,36.09,9.02,5.41,3.61,0.0,3609.17,410,3,1,20160126,100
SZ300492,492,1,-1,5,38.83,9.71,5.82,3.88,0.0,3883.17,411,3,1,20160126,100
SZ300353,493,1,-1,5,17.09,6.71,5.0,1.71,0.0,1709.34,412,3,1,20160126,100
SZ300492,494,1,-1,5,38.83,9.71,5.82,3.88,0.0,3883.17,413,3,1,20160126,100
SZ002786,495,1,-1,5,36.09,9.02,5.41,3.61,0.0,3609.17,414,3,1,20160126,100
SZ002751,496,1,-1,5,108.51,27.13,16.28,10.85,0.0,10851.42,415,3,1,20160126,100
SZ002785,497,1,-1,5,28.48,7.85,5.0,2.85,0.0,2848.22,416,3,1,20160126,100
SZ002785,498,1,-1,5,26.06,7.61,5.0,2.61,0.0,2606.39,416,3,1,20160126,100
SH603009,499,1,-1,5,33.12,9.31,5.0,3.31,1.0,3312.1,417,3,1,20160126,100
SH601101,500,1,-1,5,6.85,6.69,5.0,0.69,1.0,685.05,418,3,1,20160126,100
SZ000851,501,1,-1,5,12.75,6.27,5.0,1.27,0.0,1274.99,419,3,1,20160126,100
SZ300141,502,1,-1,5,21.39,7.14,5.0,2.14,0.0,2139.43,420,3,1,20160126,100
SZ002781,503,1,-1,5,37.61,9.4,5.64,3.76,0.0,3760.88,421,3,1,20160126,100
SH603866,504,1,-1,5,35.9,9.98,5.39,3.59,1.0,3590.43,422,3,1,20160126,100
SH600658,505,1,-1,5,10.55,7.06,5.0,1.06,1.0,1055.46,423,3,1,20160126,100
SZ002758,506,1,-1,5,82.1,20.52,12.31,8.21,0.0,8209.69,424,3,1,20160126,100
SZ000780,507,1,-1,5,5.34,5.53,5.0,0.53,0.0,534.37,425,3,1,20160126,100
