symbol,order_id,comb_offset,direction,order_type,price,fee,commission,stamp,transfer,cost,hold_vol_id,status,amount,create_time,min_volume
SZ300613,7045,0,1,5,79.59,11.94,11.94,0.0,0.0,7958.66,0,3,1,20170220,100
SZ300611,7050,0,1,5,17.07,5.0,5.0,0.0,0.0,1707.48,0,3,1,20170220,100
SZ300613,7143,0,1,5,106.63,15.99,15.99,0.0,0.0,10663.0,0,3,1,20170223,100
SZ300611,7149,0,1,5,22.95,5.0,5.0,0.0,0.0,2295.0,0,3,1,20170223,100
SZ300611,7236,0,1,5,30.56,5.0,5.0,0.0,0.0,3056.0,0,3,1,20170228,100
SH603817,7238,0,1,5,10.3,6.0,5.0,0.0,1.0,1030.0,0,3,1,20170228,100
SZ300611,7382,0,1,5,54.15,8.12,8.12,0.0,0.0,5415.0,0,3,1,20170308,100
SZ300613,7403,0,1,5,273.8,41.07,41.07,0.0,0.0,27379.53,0,3,1,20170309,100
SZ300611,7410,0,1,5,58.61,8.79,8.79,0.0,0.0,5860.98,0,3,1,20170309,100
SH603817,7458,0,1,5,23.12,6.0,5.0,0.0,1.0,2311.77,0,3,1,20170313,100
SH603322,7652,0,1,5,108.52,17.28,16.28,0.0,1.0,10851.6,0,3,1,20170322,100
SH600209,7655,0,1,5,14.75,6.0,5.0,0.0,1.0,1475.44,0,3,1,20170322,100
SZ300103,7657,0,1,5,24.68,5.0,5.0,0.0,0.0,2467.7,0,3,1,20170322,100
SZ300562,7661,0,1,5,155.33,23.3,23.3,0.0,0.0,15532.69,0,3,1,20170322,100
SH603389,7662,0,1,5,35.12,6.27,5.27,0.0,1.0,3511.88,0,3,1,20170322,100
SZ000407,7668,0,1,5,11.09,5.0,5.0,0.0,0.0,1109.0,0,3,1,20170322,100
SZ300611,7670,0,1,5,69.48,10.42,10.42,0.0,0.0,6948.0,0,3,1,20170322,100
SZ002634,7672,0,1,5,13.42,5.0,5.0,0.0,0.0,1341.53,0,3,1,20170322,100
SZ002730,7675,1,-1,5,22.09,7.21,5.0,2.21,0.0,2209.39,7275,3,1,20170323,100
SZ002351,7676,1,-1,5,15.15,6.51,5.0,1.51,0.0,1514.78,7313,3,1,20170323,100
SH603603,7677,1,-1,5,45.07,12.27,6.76,4.51,1.0,4506.51,7355,3,1,20170323,100
SZ002849,7678,1,-1,5,63.09,15.77,9.46,6.31,0.0,6308.89,7358,3,1,20170323,100
SH603603,7679,1,-1,5,45.07,12.27,6.76,4.51,1.0,4506.51,7360,3,1,20170323,100
SZ002849,7680,1,-1,5,63.09,15.77,9.46,6.31,0.0,6308.89,7363,3,1,20170323,100
SZ002849,7681,1,-1,5,63.09,15.77,9.46,6.31,0.0,6308.89,7371,3,1,20170323,100
SH603603,7682,1,-1,5,45.07,12.27,6.76,4.51,1.0,4506.51,7373,3,1,20170323,100
SH603603,7683,1,-1,5,45.07,12.27,6.76,4.51,1.0,4506.51,7374,3,1,20170323,100
SZ002849,7684,1,-1,5,63.09,15.77,9.46,6.31,0.0,6308.89,7376,3,1,20170323,100
SH603603,7685,1,-1,5,45.07,12.27,6.76,4.51,1.0,4506.51,7377,3,1,20170323,100
SZ000877,7686,1,-1,5,16.87,6.69,5.0,1.69,0.0,1686.92,7383,3,1,20170323,100
SZ000877,7687,1,-1,5,15.44,6.54,5.0,1.54,0.0,1543.69,7383,3,1,20170323,100
SZ002849,7688,1,-1,5,63.09,15.77,9.46,6.31,0.0,6308.89,7385,3,1,20170323,100
SZ002795,7689,1,-1,5,90.06,22.52,13.51,9.01,0.0,9006.11,7442,3,1,20170323,100
SZ300512,7690,1,-1,5,31.61,8.16,5.0,3.16,0.0,3161.16,7443,3,1,20170323,100
SZ000798,7691,1,-1,5,12.84,6.28,5.0,1.28,0.0,1284.13,7444,3,1,20170323,100
SZ002830,7692,1,-1,5,76.45,19.11,11.47,7.64,0.0,7645.0,7447,3,1,20170323,100
SZ002825,7693,1,-1,5,63.38,15.84,9.51,6.34,0.0,6338.0,7448,3,1,20170323,100
SH603169,7694,1,-1,5,15.93,7.59,5.0,1.59,1.0,1593.22,7449,3,1,20170323,100
SH603169,7695,1,-1,5,14.58,7.46,5.0,1.46,1.0,1457.95,7449,3,1,20170323,100
