symbol,order_id,comb_offset,direction,order_type,price,fee,commission,stamp,transfer,cost,hold_vol_id,status,amount,create_time,min_volume
SZ300671,20028,0,1,5,33.99,5.1,5.1,0.0,0.0,3399.39,0,3,1,20170905,100
SZ002853,20029,0,1,5,48.51,7.28,7.28,0.0,0.0,4851.37,0,3,1,20170905,100
SZ002891,20030,0,1,5,46.53,6.98,6.98,0.0,0.0,4653.29,0,3,1,20170905,100
SH601949,20031,0,1,5,12.66,6.0,5.0,0.0,1.0,1266.43,0,3,1,20170905,100
SZ000670,20032,0,1,5,6.15,5.0,5.0,0.0,0.0,614.64,0,3,1,20170905,100
SH603181,20033,0,1,5,31.99,6.0,5.0,0.0,1.0,3199.0,0,3,1,20170905,100
SZ002183,20034,0,1,5,8.66,5.0,5.0,0.0,0.0,866.4,0,3,1,20170905,100
SZ300613,20035,0,1,5,191.47,28.72,28.72,0.0,0.0,19147.33,0,3,1,20170905,100
SH603079,20036,0,1,5,51.23,8.68,7.68,0.0,1.0,5123.0,0,3,1,20170905,100
SZ300698,20037,0,1,5,11.5,5.0,5.0,0.0,0.0,1150.0,0,3,1,20170905,100
SZ002703,20038,0,1,5,12.09,5.0,5.0,0.0,0.0,1208.94,0,3,1,20170905,100
SZ002885,20039,0,1,5,45.65,6.85,6.85,0.0,0.0,4564.82,0,3,1,20170905,100
SZ300659,20040,0,1,5,44.99,6.75,6.75,0.0,0.0,4499.22,0,3,1,20170905,100
SZ300457,20041,0,1,5,91.29,13.69,13.69,0.0,0.0,9128.54,0,3,1,20170905,100
SH600794,20042,0,1,5,4.46,6.0,5.0,0.0,1.0,446.39,0,3,1,20170905,100
SH603721,20043,0,1,5,46.07,7.91,6.91,0.0,1.0,4606.8,0,3,1,20170905,100
SZ002045,20044,0,1,5,18.23,5.0,5.0,0.0,0.0,1823.24,0,3,1,20170905,100
SZ300696,20046,0,1,5,81.22,12.18,12.18,0.0,0.0,8121.62,0,3,1,20170905,100
SZ300693,20047,0,1,5,52.07,7.81,7.81,0.0,0.0,5206.82,0,3,1,20170905,100
SH601886,20048,1,-1,5,11.08,7.11,5.0,1.11,1.0,1107.63,19468,3,1,20170906,100
SZ000045,20049,1,-1,5,12.05,6.2,5.0,1.2,0.0,1204.69,19756,3,1,20170906,100
SH601886,20050,1,-1,5,11.22,7.12,5.0,1.12,1.0,1121.52,19793,3,1,20170906,100
SZ300676,20051,1,-1,5,143.33,35.83,21.5,14.33,0.0,14333.28,19800,3,1,20170906,100
SZ300035,20052,1,-1,5,10.27,6.03,5.0,1.03,0.0,1027.14,19832,3,1,20170906,100
SH601886,20053,1,-1,5,11.23,7.12,5.0,1.12,1.0,1122.58,19838,3,1,20170906,100
SZ002225,20054,1,-1,5,6.62,5.66,5.0,0.66,0.0,661.97,19841,3,1,20170906,100
SZ002891,20055,1,-1,5,45.14,11.28,6.77,4.51,0.0,4513.69,19871,3,1,20170906,100
SZ300618,20056,1,-1,5,166.12,41.53,24.92,16.61,0.0,16612.44,19872,3,1,20170906,100
SZ300692,20057,1,-1,5,38.22,9.56,5.73,3.82,0.0,3822.36,19873,3,1,20170906,100
SZ002895,20058,1,-1,5,20.89,7.09,5.0,2.09,0.0,2089.26,19874,3,1,20170906,100
SZ000697,20059,1,-1,5,26.4,7.64,5.0,2.64,0.0,2639.99,19875,3,1,20170906,100
SH601326,20060,1,-1,5,11.82,7.18,5.0,1.18,1.0,1182.31,19876,3,1,20170906,100
SH601326,20061,1,-1,5,10.82,7.08,5.0,1.08,1.0,1081.93,19876,3,1,20170906,100
SZ300688,20062,1,-1,5,86.26,21.56,12.94,8.63,0.0,8625.55,19877,3,1,20170906,100
SH603500,20063,1,-1,5,22.11,8.21,5.0,2.21,1.0,2211.16,19878,3,1,20170906,100
SH603127,20064,1,-1,5,37.21,10.3,5.58,3.72,1.0,3720.6,19880,3,1,20170906,100
SH603976,20065,1,-1,5,42.79,11.7,6.42,4.28,1.0,4279.26,19883,3,1,20170906,100
SZ300224,20066,1,-1,5,14.92,6.49,5.0,1.49,0.0,1492.12,19884,3,1,20170906,100
SZ300053,20067,1,-1,5,17.17,6.72,5.0,1.72,0.0,1716.73,19886,3,1,20170906,100
SZ300609,20068,1,-1,5,51.57,12.89,7.74,5.16,0.0,5157.38,19887,3,1,20170906,100
SZ000751,20069,1,-1,5,6.43,5.64,5.0,0.64,0.0,642.76,19890,3,1,20170906,100
SZ002362,20070,1,-1,5,35.23,8.81,5.28,3.52,0.0,3522.9,19893,3,1,20170906,100
